time,unit,technology,output
1,1,Solar PV,-0.0
1,2,Wind offshore,-204.27911729246566
1,3,Wind onshore,-0.0
1,4,Wind offshore,-0.0
2,1,Solar PV,-0.0
2,2,Wind offshore,-160.6309690159471
2,3,Wind onshore,-0.0
2,4,Wind offshore,-0.0
3,1,Solar PV,-0.0
3,2,Wind offshore,-121.34333294855617
3,3,Wind onshore,-0.0
3,4,Wind offshore,-0.0
4,1,Solar PV,-0.0
4,2,Wind offshore,-93.38405444815858
4,3,Wind onshore,-0.0
4,4,Wind offshore,-0.0
5,1,Solar PV,-0.0
5,2,Wind offshore,-67.28685636737579
5,3,Wind onshore,-0.0
5,4,Wind offshore,-0.0
6,1,Solar PV,-0.0
6,2,Wind offshore,-24.924881808049303
6,3,Wind onshore,-0.0
6,4,Wind offshore,-0.0
7,1,Solar PV,-0.0
7,2,Wind offshore,-33.715190586883594
7,3,Wind onshore,-0.0
7,4,Wind offshore,-0.0
8,1,Solar PV,-0.0
8,2,Wind offshore,-56.16363960718211
8,3,Wind onshore,-0.0
8,4,Wind offshore,-0.0
9,1,Solar PV,-0.0
9,2,Wind offshore,-114.43864977066292
9,3,Wind onshore,-0.0
9,4,Wind offshore,-0.0
10,1,Solar PV,-0.0
10,2,Wind offshore,-167.43545456154752
10,3,Wind onshore,-0.0
10,4,Wind offshore,-0.0
11,1,Solar PV,-0.0
11,2,Wind offshore,-189.98084907292895
11,3,Wind onshore,-0.0
11,4,Wind offshore,-0.0
12,1,Solar PV,-0.0
12,2,Wind offshore,-176.09404012815855
12,3,Wind onshore,-0.0
12,4,Wind offshore,-0.0
13,1,Solar PV,-0.0
13,2,Wind offshore,-156.90200136021906
13,3,Wind onshore,-0.0
13,4,Wind offshore,-0.0
14,1,Solar PV,-0.0
14,2,Wind offshore,-158.95552804833653
14,3,Wind onshore,-0.0
14,4,Wind offshore,-0.0
15,1,Solar PV,-0.0
15,2,Wind offshore,-198.3614418798423
15,3,Wind onshore,-0.0
15,4,Wind offshore,-0.0
16,1,Solar PV,-0.0
16,2,Wind offshore,-259.9049206510734
16,3,Wind onshore,-0.0
16,4,Wind offshore,-0.0
17,1,Solar PV,-0.0
17,2,Wind offshore,-268.1528369855771
17,3,Wind onshore,-0.0
17,4,Wind offshore,-0.0
18,1,Solar PV,-0.0
18,2,Wind offshore,-279.97233157573436
18,3,Wind onshore,-0.0
18,4,Wind offshore,-0.0
19,1,Solar PV,-0.0
19,2,Wind offshore,-291.2861892510165
19,3,Wind onshore,-0.0
19,4,Wind offshore,-0.0
20,1,Solar PV,-0.0
20,2,Wind offshore,-300.57756171099214
20,3,Wind onshore,-0.0
20,4,Wind offshore,-0.0
21,1,Solar PV,-0.0
21,2,Wind offshore,-312.76078303656726
21,3,Wind onshore,-0.0
21,4,Wind offshore,-0.0
22,1,Solar PV,-0.0
22,2,Wind offshore,-317.8777819158583
22,3,Wind onshore,-0.0
22,4,Wind offshore,-0.0
23,1,Solar PV,-0.0
23,2,Wind offshore,-252.3140154093613
23,3,Wind onshore,-0.0
23,4,Wind offshore,-0.0
24,1,Solar PV,-0.0
24,2,Wind offshore,-181.95274829467908
24,3,Wind onshore,-0.0
24,4,Wind offshore,-0.0
25,1,Solar PV,-0.0
25,2,Wind offshore,-133.884001376848
25,3,Wind onshore,-0.0
25,4,Wind offshore,-0.0
26,1,Solar PV,-0.0
26,2,Wind offshore,-114.64973962011995
26,3,Wind onshore,-0.0
26,4,Wind offshore,-0.0
27,1,Solar PV,-0.0
27,2,Wind offshore,-113.39259731661824
27,3,Wind onshore,-0.0
27,4,Wind offshore,-0.0
28,1,Solar PV,-0.0
28,2,Wind offshore,-142.2174427507157
28,3,Wind onshore,-0.0
28,4,Wind offshore,-0.0
29,1,Solar PV,-0.0
29,2,Wind offshore,-224.5203902113135
29,3,Wind onshore,-0.0
29,4,Wind offshore,-0.0
30,1,Solar PV,-0.0
30,2,Wind offshore,-322.0292816440908
30,3,Wind onshore,-0.0
30,4,Wind offshore,-0.0
31,1,Solar PV,-0.0
31,2,Wind offshore,-311.8720762995616
31,3,Wind onshore,-0.0
31,4,Wind offshore,-0.0
32,1,Solar PV,-0.0
32,2,Wind offshore,-297.00274585948114
32,3,Wind onshore,-0.0
32,4,Wind offshore,-0.0
33,1,Solar PV,-0.0
33,2,Wind offshore,-297.9251923266091
33,3,Wind onshore,-0.0
33,4,Wind offshore,-0.0
34,1,Solar PV,-0.0
34,2,Wind offshore,-274.30107809019137
34,3,Wind onshore,-0.0
34,4,Wind offshore,-0.0
35,1,Solar PV,-0.0
35,2,Wind offshore,-253.42586032189357
35,3,Wind onshore,-0.0
35,4,Wind offshore,-0.0
36,1,Solar PV,-0.0
36,2,Wind offshore,-243.2557997377263
36,3,Wind onshore,-0.0
36,4,Wind offshore,-0.0
37,1,Solar PV,-0.0
37,2,Wind offshore,-241.43890521886112
37,3,Wind onshore,-0.0
37,4,Wind offshore,-0.0
38,1,Solar PV,-0.0
38,2,Wind offshore,-247.2845482611231
38,3,Wind onshore,-0.0
38,4,Wind offshore,-0.0
39,1,Solar PV,-0.0
39,2,Wind offshore,-257.26467373571944
39,3,Wind onshore,-0.0
39,4,Wind offshore,-0.0
40,1,Solar PV,-0.0
40,2,Wind offshore,-266.09401261085225
40,3,Wind onshore,-0.0
40,4,Wind offshore,-0.0
41,1,Solar PV,-0.0
41,2,Wind offshore,-270.0167429568699
41,3,Wind onshore,-0.0
41,4,Wind offshore,-0.0
42,1,Solar PV,-0.0
42,2,Wind offshore,-259.5706332140808
42,3,Wind onshore,-0.0
42,4,Wind offshore,-0.0
43,1,Solar PV,-0.0
43,2,Wind offshore,-242.09004182219593
43,3,Wind onshore,-0.0
43,4,Wind offshore,-0.0
44,1,Solar PV,-0.0
44,2,Wind offshore,-240.8682041354536
44,3,Wind onshore,-0.0
44,4,Wind offshore,-0.0
45,1,Solar PV,-0.0
45,2,Wind offshore,-224.6975871848985
45,3,Wind onshore,-0.0
45,4,Wind offshore,-0.0
46,1,Solar PV,-0.0
46,2,Wind offshore,-211.00921492223733
46,3,Wind onshore,-0.0
46,4,Wind offshore,-0.0
47,1,Solar PV,-0.0
47,2,Wind offshore,-193.59514152301446
47,3,Wind onshore,-0.0
47,4,Wind offshore,-0.0
48,1,Solar PV,-0.0
48,2,Wind offshore,-182.3738631455998
48,3,Wind onshore,-0.0
48,4,Wind offshore,-0.0
49,1,Solar PV,-0.0
49,2,Wind offshore,-180.5095806048052
49,3,Wind onshore,-0.0
49,4,Wind offshore,-0.0
50,1,Solar PV,-0.0
50,2,Wind offshore,-181.0157235316681
50,3,Wind onshore,-0.0
50,4,Wind offshore,-0.0
51,1,Solar PV,-0.0
51,2,Wind offshore,-193.86613277182948
51,3,Wind onshore,-0.0
51,4,Wind offshore,-0.0
52,1,Solar PV,-0.0
52,2,Wind offshore,-202.64988625673936
52,3,Wind onshore,-0.0
52,4,Wind offshore,-0.0
53,1,Solar PV,-0.0
53,2,Wind offshore,-230.9113551580161
53,3,Wind onshore,-0.0
53,4,Wind offshore,-0.0
54,1,Solar PV,-0.0
54,2,Wind offshore,-249.68402765529723
54,3,Wind onshore,-0.0
54,4,Wind offshore,-0.0
55,1,Solar PV,-0.0
55,2,Wind offshore,-272.0932854577174
55,3,Wind onshore,-0.0
55,4,Wind offshore,-0.0
56,1,Solar PV,-0.0
56,2,Wind offshore,-286.70871711002803
