time,unit,fuel,output_up
1,1,NaturalGas,0.0
1,2,NaturalGas,0.0
1,3,Lignite,75.0
1,4,Nuclear,129.27911729246583
1,5,Oil,0.0
1,6,NaturalGas,0.0
1,7,NaturalGas,0.0
1,8,HardCoal,0.0
1,9,HardCoal,0.0
1,10,Lignite,0.0
1,11,Lignite,0.0
1,12,HardCoal,0.0
2,1,NaturalGas,0.0
2,2,NaturalGas,0.0
2,3,Lignite,75.0
2,4,Nuclear,85.6309690159476
2,5,Oil,0.0
2,6,NaturalGas,0.0
2,7,NaturalGas,0.0
2,8,HardCoal,0.0
2,9,HardCoal,0.0
2,10,Lignite,0.0
2,11,Lignite,0.0
2,12,HardCoal,0.0
3,1,NaturalGas,0.0
3,2,NaturalGas,0.0
3,3,Lignite,75.0
3,4,Nuclear,46.34333294855646
3,5,Oil,0.0
3,6,NaturalGas,0.0
3,7,NaturalGas,0.0
3,8,HardCoal,0.0
3,9,HardCoal,0.0
3,10,Lignite,0.0
3,11,Lignite,0.0
3,12,HardCoal,0.0
4,1,NaturalGas,0.0
4,2,NaturalGas,0.0
4,3,Lignite,75.0
4,4,Nuclear,18.38405444815884
4,5,Oil,0.0
4,6,NaturalGas,0.0
4,7,NaturalGas,0.0
4,8,HardCoal,0.0
4,9,HardCoal,0.0
4,10,Lignite,0.0
4,11,Lignite,0.0
4,12,HardCoal,0.0
5,1,NaturalGas,0.0
5,2,NaturalGas,0.0
5,3,Lignite,67.28685636737612
5,4,Nuclear,0.0
5,5,Oil,0.0
5,6,NaturalGas,0.0
5,7,NaturalGas,0.0
5,8,HardCoal,0.0
5,9,HardCoal,0.0
5,10,Lignite,0.0
5,11,Lignite,0.0
5,12,HardCoal,0.0
6,1,NaturalGas,0.0
6,2,NaturalGas,0.0
6,3,Lignite,24.924881808050113
6,4,Nuclear,0.0
6,5,Oil,0.0
6,6,NaturalGas,0.0
6,7,NaturalGas,0.0
6,8,HardCoal,0.0
6,9,HardCoal,0.0
6,10,Lignite,0.0
6,11,Lignite,0.0
6,12,HardCoal,0.0
7,1,NaturalGas,0.0
7,2,NaturalGas,0.0
7,3,Lignite,33.71519058688368
7,4,Nuclear,0.0
7,5,Oil,0.0
7,6,NaturalGas,0.0
7,7,NaturalGas,0.0
7,8,HardCoal,0.0
7,9,HardCoal,0.0
7,10,Lignite,0.0
7,11,Lignite,0.0
7,12,HardCoal,0.0
8,1,NaturalGas,0.0
8,2,NaturalGas,0.0
8,3,Lignite,56.16363960718226
8,4,Nuclear,0.0
8,5,Oil,0.0
8,6,NaturalGas,0.0
8,7,NaturalGas,0.0
8,8,HardCoal,0.0
8,9,HardCoal,0.0
8,10,Lignite,0.0
8,11,Lignite,0.0
8,12,HardCoal,0.0
9,1,NaturalGas,0.0
9,2,NaturalGas,0.0
9,3,Lignite,75.0
9,4,Nuclear,39.43864977066318
9,5,Oil,0.0
9,6,NaturalGas,0.0
9,7,NaturalGas,0.0
9,8,HardCoal,0.0
9,9,HardCoal,0.0
9,10,Lignite,0.0
9,11,Lignite,0.0
9,12,HardCoal,0.0
10,1,NaturalGas,0.0
10,2,NaturalGas,0.0
10,3,Lignite,75.0
10,4,Nuclear,92.43545456154823
10,5,Oil,0.0
10,6,NaturalGas,0.0
10,7,NaturalGas,0.0
10,8,HardCoal,0.0
10,9,HardCoal,0.0
10,10,Lignite,0.0
10,11,Lignite,0.0
10,12,HardCoal,0.0
11,1,NaturalGas,0.0
11,2,NaturalGas,0.0
11,3,Lignite,75.0
11,4,Nuclear,114.98084907292917
11,5,Oil,0.0
11,6,NaturalGas,0.0
11,7,NaturalGas,0.0
11,8,HardCoal,0.0
11,9,HardCoal,0.0
11,10,Lignite,0.0
11,11,Lignite,0.0
11,12,HardCoal,0.0
12,1,NaturalGas,0.0
12,2,NaturalGas,0.0
12,3,Lignite,75.0
12,4,Nuclear,101.09404012815885
12,5,Oil,0.0
12,6,NaturalGas,0.0
12,7,NaturalGas,0.0
12,8,HardCoal,0.0
12,9,HardCoal,0.0
12,10,Lignite,0.0
12,11,Lignite,0.0
12,12,HardCoal,0.0
13,1,NaturalGas,0.0
13,2,NaturalGas,0.0
13,3,Lignite,75.0
13,4,Nuclear,81.90200136021922
13,5,Oil,0.0
13,6,NaturalGas,0.0
13,7,NaturalGas,0.0
13,8,HardCoal,0.0
13,9,HardCoal,0.0
13,10,Lignite,0.0
13,11,Lignite,0.0
13,12,HardCoal,0.0
14,1,NaturalGas,0.0
14,2,NaturalGas,0.0
14,3,Lignite,75.0
14,4,Nuclear,83.95552804833675
14,5,Oil,0.0
14,6,NaturalGas,0.0
14,7,NaturalGas,0.0
14,8,HardCoal,0.0
14,9,HardCoal,0.0
14,10,Lignite,0.0
14,11,Lignite,0.0
14,12,HardCoal,0.0
15,1,NaturalGas,0.0
15,2,NaturalGas,0.0
15,3,Lignite,75.0
15,4,Nuclear,123.36144187984263
15,5,Oil,0.0
15,6,NaturalGas,0.0
15,7,NaturalGas,0.0
15,8,HardCoal,0.0
15,9,HardCoal,0.0
15,10,Lignite,0.0
15,11,Lignite,0.0
15,12,HardCoal,0.0
16,1,NaturalGas,0.0
16,2,NaturalGas,0.0
16,3,Lignite,21.572683000000016
16,4,Nuclear,238.33223765107388
16,5,Oil,0.0
16,6,NaturalGas,0.0
16,7,NaturalGas,0.0
16,8,HardCoal,0.0
16,9,HardCoal,0.0
16,10,Lignite,0.0
16,11,Lignite,0.0
