time,unit,fuel,output_up
1,2,SNG,0.0
1,7,SNG,0.0
1,6,SNG,0.0
1,1,SNG,0.0
2,2,SNG,0.0
2,7,SNG,0.0
2,6,SNG,0.0
2,1,SNG,0.0
3,2,SNG,0.0
3,7,SNG,0.0
3,6,SNG,0.0
3,1,SNG,0.0
4,2,SNG,0.0
4,7,SNG,0.0
4,6,SNG,0.0
4,1,SNG,0.0
5,2,SNG,0.0
5,7,SNG,0.0
5,6,SNG,0.0
5,1,SNG,0.0
6,2,SNG,0.0
6,7,SNG,0.0
6,6,SNG,0.0
6,1,SNG,0.0
7,2,SNG,0.0
7,7,SNG,0.0
7,6,SNG,0.0
7,1,SNG,0.0
8,2,SNG,0.0
8,7,SNG,0.0
8,6,SNG,0.0
8,1,SNG,0.0
9,2,SNG,0.0
9,7,SNG,0.0
9,6,SNG,0.0
9,1,SNG,0.0
10,2,SNG,0.0
10,7,SNG,0.0
10,6,SNG,0.0
10,1,SNG,0.0
11,2,SNG,0.0
11,7,SNG,0.0
11,6,SNG,0.0
11,1,SNG,0.0
12,2,SNG,0.0
12,7,SNG,0.0
12,6,SNG,0.0
12,1,SNG,0.0
13,2,SNG,0.0
13,7,SNG,0.0
13,6,SNG,0.0
13,1,SNG,0.0
14,2,SNG,0.0
14,7,SNG,0.0
14,6,SNG,0.0
14,1,SNG,0.0
15,2,SNG,0.0
15,7,SNG,0.0
15,6,SNG,0.0
15,1,SNG,0.0
16,2,SNG,0.0
16,7,SNG,0.0
16,6,SNG,0.0
16,1,SNG,0.0
17,2,SNG,0.0
17,7,SNG,0.0
17,6,SNG,0.0
17,1,SNG,0.0
18,2,SNG,0.0
18,7,SNG,0.0
18,6,SNG,0.0
18,1,SNG,0.0
19,2,SNG,0.0
19,7,SNG,0.0
19,6,SNG,0.0
19,1,SNG,0.0
20,2,SNG,0.0
20,7,SNG,0.0
20,6,SNG,0.0
20,1,SNG,0.0
21,2,SNG,0.0
21,7,SNG,0.0
21,6,SNG,0.0
21,1,SNG,0.0
22,2,SNG,0.0
22,7,SNG,0.0
22,6,SNG,0.0
22,1,SNG,0.0
23,2,SNG,0.0
23,7,SNG,0.0
23,6,SNG,0.0
23,1,SNG,0.0
24,2,SNG,0.0
24,7,SNG,0.0
24,6,SNG,0.0
24,1,SNG,0.0
25,2,SNG,0.0
25,7,SNG,0.0
25,6,SNG,0.0
25,1,SNG,0.0
26,2,SNG,0.0
26,7,SNG,0.0
26,6,SNG,0.0
26,1,SNG,0.0
27,2,SNG,0.0
27,7,SNG,0.0
27,6,SNG,0.0
27,1,SNG,0.0
28,2,SNG,0.0
28,7,SNG,0.0
28,6,SNG,0.0
28,1,SNG,0.0
29,2,SNG,0.0
29,7,SNG,0.0
