time,unit,technology,output
1,1,Solar PV,-0.0
1,2,Wind offshore,-204.27911729246574
1,3,Wind onshore,-0.0
1,4,Wind offshore,-0.0
2,1,Solar PV,-0.0
2,2,Wind offshore,-160.6309690159471
2,3,Wind onshore,-0.0
2,4,Wind offshore,-0.0
3,1,Solar PV,-0.0
3,2,Wind offshore,-121.34333294855625
3,3,Wind onshore,-0.0
3,4,Wind offshore,-0.0
4,1,Solar PV,-0.0
4,2,Wind offshore,-93.38405444815858
4,3,Wind onshore,-0.0
4,4,Wind offshore,-0.0
5,1,Solar PV,-0.0
5,2,Wind offshore,-67.28685636737579
5,3,Wind onshore,-0.0
5,4,Wind offshore,-0.0
6,1,Solar PV,-0.0
6,2,Wind offshore,-24.924881808049214
6,3,Wind onshore,-0.0
6,4,Wind offshore,-0.0
7,1,Solar PV,-0.0
7,2,Wind offshore,-33.715190586883594
7,3,Wind onshore,-0.0
7,4,Wind offshore,-0.0
8,1,Solar PV,-0.0
8,2,Wind offshore,-56.16363960718211
8,3,Wind onshore,-0.0
8,4,Wind offshore,-0.0
9,1,Solar PV,-0.0
9,2,Wind offshore,-114.43864977066278
9,3,Wind onshore,-0.0
9,4,Wind offshore,-0.0
10,1,Solar PV,-0.0
10,2,Wind offshore,-167.43545456154752
10,3,Wind onshore,-0.0
10,4,Wind offshore,-0.0
11,1,Solar PV,-0.0
11,2,Wind offshore,-189.98084907292895
11,3,Wind onshore,-0.0
11,4,Wind offshore,-0.0
12,1,Solar PV,-0.0
12,2,Wind offshore,-176.09404012815855
12,3,Wind onshore,-0.0
12,4,Wind offshore,-0.0
13,1,Solar PV,-0.0
13,2,Wind offshore,-156.90200136021906
13,3,Wind onshore,-0.0
13,4,Wind offshore,-0.0
14,1,Solar PV,-0.0
14,2,Wind offshore,-158.95552804833653
14,3,Wind onshore,-0.0
14,4,Wind offshore,-0.0
15,1,Solar PV,-0.0
15,2,Wind offshore,-198.3614418798423
15,3,Wind onshore,-0.0
15,4,Wind offshore,-0.0
16,1,Solar PV,-0.0
16,2,Wind offshore,-259.9049206510734
16,3,Wind onshore,-0.0
16,4,Wind offshore,-0.0
17,1,Solar PV,-0.0
17,2,Wind offshore,-268.1528369855771
17,3,Wind onshore,-0.0
17,4,Wind offshore,-0.0
18,1,Solar PV,-0.0
18,2,Wind offshore,-279.97233157573436
18,3,Wind onshore,-0.0
18,4,Wind offshore,-0.0
19,1,Solar PV,-0.0
19,2,Wind offshore,-291.2861892510165
19,3,Wind onshore,-0.0
19,4,Wind offshore,-0.0
20,1,Solar PV,-0.0
20,2,Wind offshore,-300.57756171099214
20,3,Wind onshore,-0.0
20,4,Wind offshore,-0.0
21,1,Solar PV,-0.0
21,2,Wind offshore,-312.76078303656726
21,3,Wind onshore,-0.0
21,4,Wind offshore,-0.0
22,1,Solar PV,-0.0
22,2,Wind offshore,-317.8777819158583
22,3,Wind onshore,-0.0
22,4,Wind offshore,-0.0
23,1,Solar PV,-0.0
23,2,Wind offshore,-252.3140154093614
23,3,Wind onshore,-0.0
23,4,Wind offshore,-0.0
24,1,Solar PV,-0.0
24,2,Wind offshore,-181.95274829467908
24,3,Wind onshore,-0.0
24,4,Wind offshore,-0.0
25,1,Solar PV,-0.0
25,2,Wind offshore,-133.884001376848
25,3,Wind onshore,-0.0
25,4,Wind offshore,-0.0
26,1,Solar PV,-0.0
26,2,Wind offshore,-114.64973962011986
26,3,Wind onshore,-0.0
26,4,Wind offshore,-0.0
27,1,Solar PV,-0.0
27,2,Wind offshore,-113.3925973166185
27,3,Wind onshore,-0.0
27,4,Wind offshore,-0.0
28,1,Solar PV,-0.0
28,2,Wind offshore,-142.21744275071532
28,3,Wind onshore,-0.0
28,4,Wind offshore,-0.0
29,1,Solar PV,-0.0
29,2,Wind offshore,-224.73106637916624
29,3,Wind onshore,-0.0
29,4,Wind offshore,-0.0
30,1,Solar PV,-0.0
30,2,Wind offshore,-322.2399578119434
30,3,Wind onshore,-0.0
30,4,Wind offshore,-0.0
31,1,Solar PV,-0.0
31,2,Wind offshore,-311.3914178484435
31,3,Wind onshore,-0.0
31,4,Wind offshore,-0.0
32,1,Solar PV,-0.0
32,2,Wind offshore,-291.65646452443247
32,3,Wind onshore,-0.0
32,4,Wind offshore,-0.0
33,1,Solar PV,-0.0
33,2,Wind offshore,-284.9978274179
33,3,Wind onshore,-0.0
33,4,Wind offshore,-0.0
34,1,Solar PV,-0.0
34,2,Wind offshore,-253.3972554375366
34,3,Wind onshore,-0.0
34,4,Wind offshore,-0.0
35,1,Solar PV,-0.0
35,2,Wind offshore,-226.63559757922766
35,3,Wind onshore,-0.0
35,4,Wind offshore,-0.0
36,1,Solar PV,-0.0
36,2,Wind offshore,-216.4655369950604
36,3,Wind onshore,-0.0
36,4,Wind offshore,-0.0
37,1,Solar PV,-0.0
37,2,Wind offshore,-214.64864247619505
37,3,Wind onshore,-0.0
37,4,Wind offshore,-0.0
38,1,Solar PV,-0.0
38,2,Wind offshore,-220.4942855184572
38,3,Wind onshore,-0.0
38,4,Wind offshore,-0.0
39,1,Solar PV,-0.0
39,2,Wind offshore,-234.64134074445343
39,3,Wind onshore,-0.0
39,4,Wind offshore,-0.0
40,1,Solar PV,-0.0
40,2,Wind offshore,-239.5783962937718
40,3,Wind onshore,-0.0
40,4,Wind offshore,-0.0
41,1,Solar PV,-0.0
41,2,Wind offshore,-243.22594948497277
41,3,Wind onshore,-0.0
41,4,Wind offshore,-0.0
42,1,Solar PV,-0.0
42,2,Wind offshore,-235.61325314545533
42,3,Wind onshore,-0.0
42,4,Wind offshore,-0.0
43,1,Solar PV,-0.0
43,2,Wind offshore,-229.0481998529687
43,3,Wind onshore,-0.0
43,4,Wind offshore,-0.0
44,1,Solar PV,-0.0
44,2,Wind offshore,-232.89174639150772
44,3,Wind onshore,-0.0
44,4,Wind offshore,-0.0
45,1,Solar PV,-0.0
45,2,Wind offshore,-224.6975871848985
45,3,Wind onshore,-0.0
45,4,Wind offshore,-0.0
46,1,Solar PV,-0.0
46,2,Wind offshore,-211.00921492223733
46,3,Wind onshore,-0.0
46,4,Wind offshore,-0.0
47,1,Solar PV,-0.0
47,2,Wind offshore,-194.17715615332378
47,3,Wind onshore,-0.0
47,4,Wind offshore,-0.0
48,1,Solar PV,-0.0
48,2,Wind offshore,-182.95587777590902
48,3,Wind onshore,-0.0
48,4,Wind offshore,-0.0
49,1,Solar PV,-0.0
49,2,Wind offshore,-180.5095806048052
49,3,Wind onshore,-0.0
49,4,Wind offshore,-0.0
50,1,Solar PV,-0.0
50,2,Wind offshore,-181.01572353166807
50,3,Wind onshore,-0.0
50,4,Wind offshore,-0.0
51,1,Solar PV,-0.0
51,2,Wind offshore,-193.86613277182957
51,3,Wind onshore,-0.0
51,4,Wind offshore,-0.0
52,1,Solar PV,-0.0
52,2,Wind offshore,-202.64988625673936
52,3,Wind onshore,-0.0
52,4,Wind offshore,-0.0
53,1,Solar PV,-0.0
53,2,Wind offshore,-230.41507000759992
53,3,Wind onshore,-0.0
53,4,Wind offshore,-0.0
54,1,Solar PV,-0.0
54,2,Wind offshore,-249.03384737499374
54,3,Wind onshore,-0.0
54,4,Wind offshore,-0.0
55,1,Solar PV,-0.0
55,2,Wind offshore,-263.89112275101263
55,3,Wind onshore,-0.0
55,4,Wind offshore,-0.0
56,1,Solar PV,-0.0
56,2,Wind offshore,-271.4083788732601
56,3,Wind onshore,-0.0
56,4,Wind offshore,-0.0
57,1,Solar PV,-0.0
57,2,Wind offshore,-272.59498776712235
57,3,Wind onshore,-0.0
57,4,Wind offshore,-0.0
58,1,Solar PV,-0.0
58,2,Wind offshore,-289.5628757929025
58,3,Wind onshore,-0.0
58,4,Wind offshore,-0.0
59,1,Solar PV,-0.0
59,2,Wind offshore,-306.1074562481022
59,3,Wind onshore,-0.0
59,4,Wind offshore,-0.0
60,1,Solar PV,-0.0
60,2,Wind offshore,-295.5733195662466
60,3,Wind onshore,-0.0
60,4,Wind offshore,-0.0
61,1,Solar PV,-0.0
61,2,Wind offshore,-283.6453653833337
61,3,Wind onshore,-0.0
61,4,Wind offshore,-0.0
62,1,Solar PV,-0.0
62,2,Wind offshore,-276.4848915611288
62,3,Wind onshore,-0.0
62,4,Wind offshore,-0.0
63,1,Solar PV,-0.0
63,2,Wind offshore,-287.5582332397631
63,3,Wind onshore,-0.0
63,4,Wind offshore,-0.0
64,1,Solar PV,-0.0
64,2,Wind offshore,-279.50845186467524
64,3,Wind onshore,-0.0
64,4,Wind offshore,-0.0
65,1,Solar PV,-0.0
65,2,Wind offshore,-273.1691991433187
65,3,Wind onshore,-0.0
65,4,Wind offshore,-0.0
66,1,Solar PV,-0.0
66,2,Wind offshore,-275.9551009483346
66,3,Wind onshore,-0.0
66,4,Wind offshore,-0.0
67,1,Solar PV,-0.0
67,2,Wind offshore,-291.9566905130444
67,3,Wind onshore,-0.0
67,4,Wind offshore,-0.0
68,1,Solar PV,-0.0
68,2,Wind offshore,-314.6943033904072
68,3,Wind onshore,-0.0
68,4,Wind offshore,-0.0
69,1,Solar PV,-0.0
69,2,Wind offshore,-332.0137401020197
69,3,Wind onshore,-0.0
69,4,Wind offshore,-0.0
70,1,Solar PV,-0.0
70,2,Wind offshore,-339.40478797543665
70,3,Wind onshore,-0.0
70,4,Wind offshore,-0.0
71,1,Solar PV,-0.0
71,2,Wind offshore,-344.70252631348995
71,3,Wind onshore,-0.0
71,4,Wind offshore,-0.0
72,1,Solar PV,-0.0
72,2,Wind offshore,-355.89878595055444
72,3,Wind onshore,-0.0
72,4,Wind offshore,-0.0
73,1,Solar PV,-0.0
73,2,Wind offshore,-360.26247661170515
73,3,Wind onshore,-0.0
73,4,Wind offshore,-0.0
74,1,Solar PV,-0.0
74,2,Wind offshore,-336.3649771816191
74,3,Wind onshore,-0.0
74,4,Wind offshore,-0.0
75,1,Solar PV,-0.0
75,2,Wind offshore,-341.0778687686988
75,3,Wind onshore,-0.0
75,4,Wind offshore,-0.0
76,1,Solar PV,-0.0
76,2,Wind offshore,-342.0058988857999
76,3,Wind onshore,-0.0
76,4,Wind offshore,-0.0
77,1,Solar PV,-0.0
77,2,Wind offshore,-319.7099230557973
77,3,Wind onshore,-0.0
77,4,Wind offshore,-0.0
78,1,Solar PV,-0.0
78,2,Wind offshore,-297.8835597223043
78,3,Wind onshore,-0.0
78,4,Wind offshore,-0.0
79,1,Solar PV,-0.0
79,2,Wind offshore,-270.7975555155127
79,3,Wind onshore,-0.0
79,4,Wind offshore,-0.0
80,1,Solar PV,-0.0
80,2,Wind offshore,-238.22372094059762
80,3,Wind onshore,-0.0
80,4,Wind offshore,-0.0
81,1,Solar PV,-0.0
81,2,Wind offshore,-200.7583795566156
81,3,Wind onshore,-0.0
81,4,Wind offshore,-0.0
82,1,Solar PV,-0.0
82,2,Wind offshore,-172.3471215170902
82,3,Wind onshore,-0.0
82,4,Wind offshore,-0.0
83,1,Solar PV,-0.0
83,2,Wind offshore,-134.72775082853508
83,3,Wind onshore,-0.0
83,4,Wind offshore,-0.0
84,1,Solar PV,-0.0
84,2,Wind offshore,-131.5737127880003
84,3,Wind onshore,-0.0
84,4,Wind offshore,-0.0
85,1,Solar PV,-0.0
85,2,Wind offshore,-149.61465206322887
85,3,Wind onshore,-0.0
85,4,Wind offshore,-0.0
86,1,Solar PV,-0.0
86,2,Wind offshore,-176.54168430555316
86,3,Wind onshore,-0.0
86,4,Wind offshore,-0.0
87,1,Solar PV,-0.0
87,2,Wind offshore,-206.41630715146002
87,3,Wind onshore,-0.0
87,4,Wind offshore,-0.0
88,1,Solar PV,-0.0
88,2,Wind offshore,-219.61932220982754
88,3,Wind onshore,-0.0
88,4,Wind offshore,-0.0
89,1,Solar PV,-0.0
89,2,Wind offshore,-209.70546028009136
89,3,Wind onshore,-0.0
89,4,Wind offshore,-0.0
90,1,Solar PV,-0.0
90,2,Wind offshore,-196.69315076482297
90,3,Wind onshore,-0.0
90,4,Wind offshore,-0.0
91,1,Solar PV,-0.0
91,2,Wind offshore,-187.4585002992172
91,3,Wind onshore,-0.0
91,4,Wind offshore,-0.0
92,1,Solar PV,-0.0
92,2,Wind offshore,-193.98062085270737
92,3,Wind onshore,-0.0
92,4,Wind offshore,-0.0
93,1,Solar PV,-0.0
93,2,Wind offshore,-197.71568803766553
93,3,Wind onshore,-0.0
93,4,Wind offshore,-0.0
94,1,Solar PV,-0.0
94,2,Wind offshore,-182.8138175641392
94,3,Wind onshore,-0.0
94,4,Wind offshore,-0.0
95,1,Solar PV,-0.0
95,2,Wind offshore,-158.39757267106208
95,3,Wind onshore,-0.0
95,4,Wind offshore,-0.0
96,1,Solar PV,-0.0
96,2,Wind offshore,-139.8680592322027
96,3,Wind onshore,-0.0
96,4,Wind offshore,-0.0
97,1,Solar PV,-0.0
97,2,Wind offshore,-101.35269202533567
97,3,Wind onshore,-0.0
97,4,Wind offshore,-0.0
98,1,Solar PV,-0.0
98,2,Wind offshore,-41.199560196608886
98,3,Wind onshore,-0.0
98,4,Wind offshore,-0.0
99,1,Solar PV,-0.0
99,2,Wind offshore,-7.227423880202011
99,3,Wind onshore,-0.0
99,4,Wind offshore,-0.0
100,1,Solar PV,-0.0
100,2,Wind offshore,-0.0
100,3,Wind onshore,-0.0
100,4,Wind offshore,-0.0
101,1,Solar PV,-0.0
101,2,Wind offshore,-0.0
101,3,Wind onshore,-0.0
101,4,Wind offshore,-0.0
102,1,Solar PV,-0.0
102,2,Wind offshore,-10.883467829192206
102,3,Wind onshore,-0.0
102,4,Wind offshore,-0.0
103,1,Solar PV,-0.0
103,2,Wind offshore,-58.51343577498503
103,3,Wind onshore,-0.0
103,4,Wind offshore,-0.0
104,1,Solar PV,-0.0
104,2,Wind offshore,-118.04251285769554
104,3,Wind onshore,-0.0
104,4,Wind offshore,-0.0
105,1,Solar PV,-0.0
105,2,Wind offshore,-163.1325550127558
105,3,Wind onshore,-0.0
105,4,Wind offshore,-0.0
106,1,Solar PV,-0.0
106,2,Wind offshore,-167.15001406829379
106,3,Wind onshore,-0.0
106,4,Wind offshore,-0.0
107,1,Solar PV,-0.0
107,2,Wind offshore,-161.154340412513
107,3,Wind onshore,-0.0
107,4,Wind offshore,-0.0
108,1,Solar PV,-0.0
108,2,Wind offshore,-158.83687735841755
108,3,Wind onshore,-0.0
108,4,Wind offshore,-0.0
109,1,Solar PV,-0.0
109,2,Wind offshore,-151.7559272396137
109,3,Wind onshore,-0.0
109,4,Wind offshore,-0.0
110,1,Solar PV,-0.0
110,2,Wind offshore,-155.7115996392516
110,3,Wind onshore,-0.0
110,4,Wind offshore,-0.0
111,1,Solar PV,-0.0
111,2,Wind offshore,-161.2879844734372
111,3,Wind onshore,-0.0
111,4,Wind offshore,-0.0
112,1,Solar PV,-0.0
112,2,Wind offshore,-170.86430378750342
112,3,Wind onshore,-0.0
112,4,Wind offshore,-0.0
113,1,Solar PV,-0.0
113,2,Wind offshore,-170.89868168390007
113,3,Wind onshore,-0.0
113,4,Wind offshore,-0.0
114,1,Solar PV,-0.0
114,2,Wind offshore,-187.0425576163377
114,3,Wind onshore,-0.0
114,4,Wind offshore,-0.0
115,1,Solar PV,-0.0
115,2,Wind offshore,-192.61076171910835
115,3,Wind onshore,-0.0
115,4,Wind offshore,-0.0
116,1,Solar PV,-0.0
116,2,Wind offshore,-198.85137369017224
116,3,Wind onshore,-0.0
116,4,Wind offshore,-0.0
117,1,Solar PV,-0.0
117,2,Wind offshore,-214.83257437088844
117,3,Wind onshore,-0.0
117,4,Wind offshore,-0.0
118,1,Solar PV,-0.0
118,2,Wind offshore,-224.16693068814374
118,3,Wind onshore,-0.0
118,4,Wind offshore,-0.0
119,1,Solar PV,-0.0
119,2,Wind offshore,-236.20516665415977
119,3,Wind onshore,-0.0
119,4,Wind offshore,-0.0
120,1,Solar PV,-0.0
120,2,Wind offshore,-251.59584710638612
120,3,Wind onshore,-0.0
120,4,Wind offshore,-0.0
121,1,Solar PV,-0.0
121,2,Wind offshore,-274.03618782698703
121,3,Wind onshore,-0.0
121,4,Wind offshore,-0.0
122,1,Solar PV,-0.0
122,2,Wind offshore,-285.18063626747534
122,3,Wind onshore,-0.0
122,4,Wind offshore,-0.0
123,1,Solar PV,-0.0
123,2,Wind offshore,-308.8324293509531
123,3,Wind onshore,-0.0
123,4,Wind offshore,-0.0
124,1,Solar PV,-0.0
124,2,Wind offshore,-333.65504513352215
124,3,Wind onshore,-0.0
124,4,Wind offshore,-0.0
125,1,Solar PV,-0.0
125,2,Wind offshore,-347.07804844214473
125,3,Wind onshore,-0.0
125,4,Wind offshore,-0.0
126,1,Solar PV,-0.0
126,2,Wind offshore,-335.2121557247057
126,3,Wind onshore,-0.0
126,4,Wind offshore,-0.0
127,1,Solar PV,-0.0
127,2,Wind offshore,-338.21983025805537
127,3,Wind onshore,-0.0
127,4,Wind offshore,-0.0
128,1,Solar PV,-0.0
128,2,Wind offshore,-342.2477364680125
128,3,Wind onshore,-0.0
128,4,Wind offshore,-0.0
129,1,Solar PV,-0.0
129,2,Wind offshore,-327.63239925053483
129,3,Wind onshore,-0.0
129,4,Wind offshore,-0.0
130,1,Solar PV,-0.0
130,2,Wind offshore,-310.2791538322823
130,3,Wind onshore,-0.0
