time,unit,technology,output
1,1,Solar PV,-0.0
1,2,Wind offshore,-90.34537805545897
1,3,Wind onshore,-0.0
1,4,Wind offshore,-0.0
2,1,Solar PV,-0.0
2,2,Wind offshore,-52.38728284042402
2,3,Wind onshore,-0.0
2,4,Wind offshore,-0.0
3,1,Solar PV,-0.0
3,2,Wind offshore,-19.635737394238074
3,3,Wind onshore,-0.0
3,4,Wind offshore,-0.0
4,1,Solar PV,-0.0
4,2,Wind offshore,-0.0
4,3,Wind onshore,-0.0
4,4,Wind offshore,-0.0
5,1,Solar PV,-0.0
5,2,Wind offshore,-0.0
5,3,Wind onshore,-0.0
5,4,Wind offshore,-0.0
6,1,Solar PV,-0.0
6,2,Wind offshore,-0.0
6,3,Wind onshore,-0.0
6,4,Wind offshore,-0.0
7,1,Solar PV,-0.0
7,2,Wind offshore,-0.0
7,3,Wind onshore,-0.0
7,4,Wind offshore,-0.0
8,1,Solar PV,-0.0
8,2,Wind offshore,-0.0
8,3,Wind onshore,-0.0
8,4,Wind offshore,-0.0
9,1,Solar PV,-0.0
9,2,Wind offshore,-0.0
9,3,Wind onshore,-0.0
9,4,Wind offshore,-0.0
10,1,Solar PV,-0.0
10,2,Wind offshore,-53.49573309632354
10,3,Wind onshore,-0.0
10,4,Wind offshore,-0.0
11,1,Solar PV,-0.0
11,2,Wind offshore,-86.08858234870695
11,3,Wind onshore,-0.0
11,4,Wind offshore,-0.0
12,1,Solar PV,-0.0
12,2,Wind offshore,-81.52983982856523
12,3,Wind onshore,-0.0
12,4,Wind offshore,-0.0
13,1,Solar PV,-0.0
13,2,Wind offshore,-60.87864543883773
13,3,Wind onshore,-0.0
13,4,Wind offshore,-0.0
14,1,Solar PV,-0.0
14,2,Wind offshore,-57.06461035096615
14,3,Wind onshore,-0.0
14,4,Wind offshore,-0.0
15,1,Solar PV,-0.0
15,2,Wind offshore,-82.74924217822426
15,3,Wind onshore,-0.0
15,4,Wind offshore,-0.0
16,1,Solar PV,-0.0
16,2,Wind offshore,-129.95246032553683
16,3,Wind onshore,-0.0
16,4,Wind offshore,-0.0
17,1,Solar PV,-0.0
17,2,Wind offshore,-268.15283698557744
17,3,Wind onshore,-0.0
17,4,Wind offshore,-0.0
18,1,Solar PV,-0.0
18,2,Wind offshore,-279.9723315757347
18,3,Wind onshore,-0.0
18,4,Wind offshore,-0.0
19,1,Solar PV,-0.0
19,2,Wind offshore,-291.2861892510165
19,3,Wind onshore,-0.0
19,4,Wind offshore,-0.0
20,1,Solar PV,-0.0
20,2,Wind offshore,-300.57756171099214
20,3,Wind onshore,-0.0
20,4,Wind offshore,-0.0
21,1,Solar PV,-0.0
21,2,Wind offshore,-156.38039151828352
21,3,Wind onshore,-0.0
21,4,Wind offshore,-0.0
22,1,Solar PV,-0.0
22,2,Wind offshore,-158.93889095792917
22,3,Wind onshore,-0.0
22,4,Wind offshore,-0.0
23,1,Solar PV,-0.0
23,2,Wind offshore,-88.91011347044994
23,3,Wind onshore,-0.0
23,4,Wind offshore,-0.0
24,1,Solar PV,-0.0
24,2,Wind offshore,-14.585594631166998
24,3,Wind onshore,-0.0
24,4,Wind offshore,-0.0
25,1,Solar PV,-0.0
25,2,Wind offshore,-0.0
25,3,Wind onshore,-0.0
25,4,Wind offshore,-0.0
26,1,Solar PV,-0.0
26,2,Wind offshore,-0.0
26,3,Wind onshore,-0.0
26,4,Wind offshore,-0.0
27,1,Solar PV,-0.0
27,2,Wind offshore,-0.0
27,3,Wind onshore,-0.0
27,4,Wind offshore,-0.0
28,1,Solar PV,-0.0
28,2,Wind offshore,-0.0
28,3,Wind onshore,-0.0
28,4,Wind offshore,-0.0
29,1,Solar PV,-0.0
29,2,Wind offshore,-59.64546040014233
29,3,Wind onshore,-0.0
29,4,Wind offshore,-0.0
30,1,Solar PV,-0.0
30,2,Wind offshore,-161.11997890597178
30,3,Wind onshore,-0.0
30,4,Wind offshore,-0.0
31,1,Solar PV,-0.0
31,2,Wind offshore,-311.39141784844367
31,3,Wind onshore,-0.0
31,4,Wind offshore,-0.0
32,1,Solar PV,-0.0
32,2,Wind offshore,-291.65646452443247
32,3,Wind onshore,-0.0
32,4,Wind offshore,-0.0
33,1,Solar PV,-0.0
33,2,Wind offshore,-284.99782741789994
33,3,Wind onshore,-0.0
33,4,Wind offshore,-0.0
34,1,Solar PV,-0.0
34,2,Wind offshore,-253.3972554375366
34,3,Wind onshore,-0.0
34,4,Wind offshore,-0.0
35,1,Solar PV,-0.0
35,2,Wind offshore,-226.63559757922752
35,3,Wind onshore,-0.0
35,4,Wind offshore,-0.0
36,1,Solar PV,-0.0
36,2,Wind offshore,-216.46553699506052
36,3,Wind onshore,-0.0
36,4,Wind offshore,-0.0
37,1,Solar PV,-0.0
37,2,Wind offshore,-214.64864247619514
37,3,Wind onshore,-0.0
37,4,Wind offshore,-0.0
38,1,Solar PV,-0.0
38,2,Wind offshore,-220.4942855184572
38,3,Wind onshore,-0.0
38,4,Wind offshore,-0.0
39,1,Solar PV,-0.0
39,2,Wind offshore,-234.64134074445306
39,3,Wind onshore,-0.0
39,4,Wind offshore,-0.0
40,1,Solar PV,-0.0
40,2,Wind offshore,-239.5783962937716
40,3,Wind onshore,-0.0
40,4,Wind offshore,-0.0
41,1,Solar PV,-0.0
41,2,Wind offshore,-243.22594948497263
41,3,Wind onshore,-0.0
41,4,Wind offshore,-0.0
42,1,Solar PV,-0.0
42,2,Wind offshore,-235.61325314545533
42,3,Wind onshore,-0.0
42,4,Wind offshore,-0.0
43,1,Solar PV,-0.0
43,2,Wind offshore,-229.0481998529688
43,3,Wind onshore,-0.0
43,4,Wind offshore,-0.0
44,1,Solar PV,-0.0
44,2,Wind offshore,-232.89174639150767
44,3,Wind onshore,-0.0
44,4,Wind offshore,-0.0
45,1,Solar PV,-0.0
45,2,Wind offshore,-224.6975871848985
45,3,Wind onshore,-0.0
45,4,Wind offshore,-0.0
46,1,Solar PV,-0.0
46,2,Wind offshore,-211.00921492223733
46,3,Wind onshore,-0.0
46,4,Wind offshore,-0.0
47,1,Solar PV,-0.0
47,2,Wind offshore,-194.17715615332378
47,3,Wind onshore,-0.0
47,4,Wind offshore,-0.0
48,1,Solar PV,-0.0
48,2,Wind offshore,-182.9558777759094
48,3,Wind onshore,-0.0
48,4,Wind offshore,-0.0
49,1,Solar PV,-0.0
49,2,Wind offshore,-180.50958060480548
49,3,Wind onshore,-0.0
49,4,Wind offshore,-0.0
50,1,Solar PV,-0.0
50,2,Wind offshore,-181.0157235316681
50,3,Wind onshore,-0.0
50,4,Wind offshore,-0.0
51,1,Solar PV,-0.0
51,2,Wind offshore,-193.86613277182948
51,3,Wind onshore,-0.0
51,4,Wind offshore,-0.0
52,1,Solar PV,-0.0
52,2,Wind offshore,-202.64988625673936
52,3,Wind onshore,-0.0
52,4,Wind offshore,-0.0
53,1,Solar PV,-0.0
53,2,Wind offshore,-230.4150700076002
53,3,Wind onshore,-0.0
53,4,Wind offshore,-0.0
54,1,Solar PV,-0.0
54,2,Wind offshore,-249.03384737499374
54,3,Wind onshore,-0.0
54,4,Wind offshore,-0.0
55,1,Solar PV,-0.0
55,2,Wind offshore,-263.8911227510129
55,3,Wind onshore,-0.0
55,4,Wind offshore,-0.0
56,1,Solar PV,-0.0
56,2,Wind offshore,-271.40837887326046
56,3,Wind onshore,-0.0
56,4,Wind offshore,-0.0
57,1,Solar PV,-0.0
57,2,Wind offshore,-272.5949877671224
57,3,Wind onshore,-0.0
57,4,Wind offshore,-0.0
58,1,Solar PV,-0.0
58,2,Wind offshore,-289.5628757929027
58,3,Wind onshore,-0.0
58,4,Wind offshore,-0.0
59,1,Solar PV,-0.0
59,2,Wind offshore,-306.10745624810227
59,3,Wind onshore,-0.0
59,4,Wind offshore,-0.0
60,1,Solar PV,-0.0
60,2,Wind offshore,-295.57331956624665
60,3,Wind onshore,-0.0
60,4,Wind offshore,-0.0
61,1,Solar PV,-0.0
61,2,Wind offshore,-283.6453653833336
61,3,Wind onshore,-0.0
61,4,Wind offshore,-0.0
62,1,Solar PV,-0.0
62,2,Wind offshore,-276.4848915611289
62,3,Wind onshore,-0.0
62,4,Wind offshore,-0.0
63,1,Solar PV,-0.0
63,2,Wind offshore,-279.58177549581734
63,3,Wind onshore,-0.0
63,4,Wind offshore,-0.0
64,1,Solar PV,-0.0
64,2,Wind offshore,-279.52386564359756
64,3,Wind onshore,-0.0
64,4,Wind offshore,-0.0
65,1,Solar PV,-0.0
65,2,Wind offshore,-273.1846129222412
65,3,Wind onshore,-0.0
65,4,Wind offshore,-0.0
66,1,Solar PV,-0.0
66,2,Wind offshore,-275.9551009483346
66,3,Wind onshore,-0.0
66,4,Wind offshore,-0.0
67,1,Solar PV,-0.0
