time,unit,fuel,output_up
5593,1,NaturalGas,0.0
5593,2,NaturalGas,0.0
5593,3,Lignite,75.0
5593,4,Nuclear,38.677600486115615
5593,5,Oil,0.0
5593,6,NaturalGas,0.0
5593,7,NaturalGas,0.0
5593,8,HardCoal,0.0
5593,9,HardCoal,0.0
5593,10,Lignite,0.0
5593,11,Lignite,0.0
5593,12,HardCoal,0.0
5594,1,NaturalGas,0.0
5594,2,NaturalGas,0.0
5594,3,Lignite,75.0
5594,4,Nuclear,41.07795562574979
5594,5,Oil,0.0
5594,6,NaturalGas,0.0
5594,7,NaturalGas,0.0
5594,8,HardCoal,0.0
5594,9,HardCoal,0.0
5594,10,Lignite,0.0
5594,11,Lignite,0.0
5594,12,HardCoal,0.0
5595,1,NaturalGas,0.0
5595,2,NaturalGas,0.0
5595,3,Lignite,75.0
5595,4,Nuclear,70.18156939135235
5595,5,Oil,0.0
5595,6,NaturalGas,0.0
5595,7,NaturalGas,0.0
5595,8,HardCoal,0.0
5595,9,HardCoal,0.0
5595,10,Lignite,0.0
5595,11,Lignite,0.0
5595,12,HardCoal,0.0
5596,1,NaturalGas,0.0
5596,2,NaturalGas,0.0
5596,3,Lignite,53.35794800000022
5596,4,Nuclear,114.60296189272279
5596,5,Oil,0.0
5596,6,NaturalGas,0.0
5596,7,NaturalGas,0.0
5596,8,HardCoal,0.0
5596,9,HardCoal,0.0
5596,10,Lignite,0.0
5596,11,Lignite,60.0
5596,12,HardCoal,0.0
5597,1,NaturalGas,0.0
5597,2,NaturalGas,0.0
5597,3,Lignite,0.0
5597,4,Nuclear,104.3042749399234
5597,5,Oil,0.0
5597,6,NaturalGas,0.0
5597,7,NaturalGas,0.0
5597,8,HardCoal,0.0
5597,9,HardCoal,0.0
5597,10,Lignite,0.0
5597,11,Lignite,120.0
5597,12,HardCoal,0.0
5598,1,NaturalGas,0.0
5598,2,NaturalGas,0.0
5598,3,Lignite,0.0
5598,4,Nuclear,29.954659000000206
5598,5,Oil,0.0
5598,6,NaturalGas,0.0
5598,7,NaturalGas,0.0
5598,8,HardCoal,0.0
5598,9,HardCoal,0.0
5598,10,Lignite,0.0
5598,11,Lignite,179.99999999999997
5598,12,HardCoal,8.182622160731901
5599,1,NaturalGas,0.0
5599,2,NaturalGas,0.0
5599,3,Lignite,0.0
5599,4,Nuclear,0.0
5599,5,Oil,0.0
5599,6,NaturalGas,11.70258949044487
5599,7,NaturalGas,0.0
5599,8,HardCoal,0.0
5599,9,HardCoal,0.0
5599,10,Lignite,0.0
