time,unit,technology,output
5593,1,Solar PV,0.0
5593,2,Wind offshore,87.67147199999985
5593,3,Wind onshore,0.0
5593,4,Wind offshore,150.4
5594,1,Solar PV,0.0
5594,2,Wind offshore,85.99742300000011
5594,3,Wind onshore,0.0
5594,4,Wind offshore,154.8
5595,1,Solar PV,0.0
5595,2,Wind offshore,118.19537399999999
5595,3,Wind onshore,0.0
5595,4,Wind offshore,157.4
5596,1,Solar PV,0.0
5596,2,Wind offshore,159.60000000000002
5596,3,Wind onshore,55.2
5596,4,Wind offshore,159.60000000000002
5597,1,Solar PV,0.0
5597,2,Wind offshore,162.6
5597,3,Wind onshore,56.8
5597,4,Wind offshore,162.6
5598,1,Solar PV,2.4
5598,2,Wind offshore,165.2
5598,3,Wind onshore,52.800000000000004
5598,4,Wind offshore,165.2
5599,1,Solar PV,23.0
5599,2,Wind offshore,167.4
5599,3,Wind onshore,55.400000000000006
5599,4,Wind offshore,167.4
5600,1,Solar PV,42.0
5600,2,Wind offshore,171.6
5600,3,Wind onshore,84.6
5600,4,Wind offshore,171.6
5601,1,Solar PV,83.0
5601,2,Wind offshore,176.0
5601,3,Wind onshore,96.8
5601,4,Wind offshore,176.0
5602,1,Solar PV,93.60000000000001
5602,2,Wind offshore,177.6
5602,3,Wind onshore,101.2
5602,4,Wind offshore,177.6
5603,1,Solar PV,108.4
5603,2,Wind offshore,179.4
5603,3,Wind onshore,108.60000000000001
5603,4,Wind offshore,179.4
5604,1,Solar PV,88.2
5604,2,Wind offshore,181.20000000000002
5604,3,Wind onshore,117.19999999999999
5604,4,Wind offshore,181.20000000000002
5605,1,Solar PV,95.6
5605,2,Wind offshore,180.8
5605,3,Wind onshore,122.0
5605,4,Wind offshore,180.8
5606,1,Solar PV,109.60000000000001
5606,2,Wind offshore,177.8
5606,3,Wind onshore,123.2
5606,4,Wind offshore,177.8
5607,1,Solar PV,112.4
5607,2,Wind offshore,173.8
5607,3,Wind onshore,117.19999999999999
5607,4,Wind offshore,173.8
5608,1,Solar PV,71.8
5608,2,Wind offshore,165.39999999999998
5608,3,Wind onshore,97.8
5608,4,Wind offshore,165.39999999999998
5609,1,Solar PV,44.800000000000004
5609,2,Wind offshore,155.4
5609,3,Wind onshore,73.4
5609,4,Wind offshore,155.4
5610,1,Solar PV,15.2
5610,2,Wind offshore,146.4
5610,3,Wind onshore,66.8
5610,4,Wind offshore,146.4
5611,1,Solar PV,0.6
5611,2,Wind offshore,137.20000000000002
5611,3,Wind onshore,72.0
5611,4,Wind offshore,137.20000000000002
5612,1,Solar PV,0.0
5612,2,Wind offshore,132.6
5612,3,Wind onshore,68.2
5612,4,Wind offshore,132.6
5613,1,Solar PV,0.0
5613,2,Wind offshore,131.8
5613,3,Wind onshore,66.4
5613,4,Wind offshore,131.8
5614,1,Solar PV,0.0
5614,2,Wind offshore,135.4
5614,3,Wind onshore,66.0
5614,4,Wind offshore,135.4
5615,1,Solar PV,0.0
5615,2,Wind offshore,111.34524100000007
5615,3,Wind onshore,59.199999999999996
5615,4,Wind offshore,141.79999999999998
5616,1,Solar PV,0.0
5616,2,Wind offshore,106.271421
5616,3,Wind onshore,0.0
5616,4,Wind offshore,145.79999999999998
5617,1,Solar PV,0.0
5617,2,Wind offshore,74.52345099999988
5617,3,Wind onshore,0.0
5617,4,Wind offshore,148.0
5618,1,Solar PV,0.0
5618,2,Wind offshore,148.2
5618,3,Wind onshore,0.0
5618,4,Wind offshore,78.69843499999988
5619,1,Solar PV,0.0
5619,2,Wind offshore,121.71848000000006
5619,3,Wind onshore,0.0
5619,4,Wind offshore,145.79999999999998
5620,1,Solar PV,0.0
5620,2,Wind offshore,140.2
5620,3,Wind onshore,53.0
5620,4,Wind offshore,140.2
5621,1,Solar PV,0.0
5621,2,Wind offshore,133.6
5621,3,Wind onshore,49.4
5621,4,Wind offshore,133.6
5622,1,Solar PV,0.6
5622,2,Wind offshore,127.4
5622,3,Wind onshore,40.2
5622,4,Wind offshore,127.4
5623,1,Solar PV,15.8
5623,2,Wind offshore,122.6
5623,3,Wind onshore,35.0
5623,4,Wind offshore,122.6
5624,1,Solar PV,55.800000000000004
5624,2,Wind offshore,119.8
5624,3,Wind onshore,42.4
5624,4,Wind offshore,119.8
5625,1,Solar PV,85.8
5625,2,Wind offshore,117.39999999999999
5625,3,Wind onshore,50.2
5625,4,Wind offshore,117.39999999999999
5626,1,Solar PV,81.6
5626,2,Wind offshore,118.8
5626,3,Wind onshore,52.0
5626,4,Wind offshore,118.8
5627,1,Solar PV,50.6
5627,2,Wind offshore,122.0
5627,3,Wind onshore,53.6
5627,4,Wind offshore,122.0
5628,1,Solar PV,39.6
5628,2,Wind offshore,122.0
5628,3,Wind onshore,54.0
5628,4,Wind offshore,122.0
5629,1,Solar PV,23.599999999999998
5629,2,Wind offshore,118.19999999999999
5629,3,Wind onshore,52.6
5629,4,Wind offshore,118.19999999999999
5630,1,Solar PV,20.0
5630,2,Wind offshore,112.00000000000001
5630,3,Wind onshore,49.8
5630,4,Wind offshore,112.00000000000001
5631,1,Solar PV,18.0
5631,2,Wind offshore,105.0
5631,3,Wind onshore,46.400000000000006
5631,4,Wind offshore,105.0
5632,1,Solar PV,27.800000000000004
5632,2,Wind offshore,97.6
5632,3,Wind onshore,41.0
5632,4,Wind offshore,97.6
5633,1,Solar PV,13.0
5633,2,Wind offshore,90.4
5633,3,Wind onshore,32.4
5633,4,Wind offshore,90.4
5634,1,Solar PV,7.199999999999999
5634,2,Wind offshore,87.0
5634,3,Wind onshore,28.799999999999997
5634,4,Wind offshore,87.0
5635,1,Solar PV,0.2
5635,2,Wind offshore,86.4
5635,3,Wind onshore,34.8
5635,4,Wind offshore,86.4
5636,1,Solar PV,0.0
5636,2,Wind offshore,86.4
5636,3,Wind onshore,41.4
5636,4,Wind offshore,86.4
5637,1,Solar PV,0.0
5637,2,Wind offshore,89.4
5637,3,Wind onshore,46.6
5637,4,Wind offshore,89.4
5638,1,Solar PV,0.0
5638,2,Wind offshore,90.2
5638,3,Wind onshore,49.2
5638,4,Wind offshore,90.2
5639,1,Solar PV,0.0
5639,2,Wind offshore,90.60000000000001
5639,3,Wind onshore,50.2
5639,4,Wind offshore,90.60000000000001
5640,1,Solar PV,0.0
5640,2,Wind offshore,94.0
5640,3,Wind onshore,50.2
5640,4,Wind offshore,94.0
5641,1,Solar PV,0.0
5641,2,Wind offshore,99.0
5641,3,Wind onshore,49.4
5641,4,Wind offshore,99.0
5642,1,Solar PV,0.0
5642,2,Wind offshore,102.60000000000001
5642,3,Wind onshore,45.4
5642,4,Wind offshore,102.60000000000001
5643,1,Solar PV,0.0
5643,2,Wind offshore,104.60000000000001
5643,3,Wind onshore,42.199999999999996
5643,4,Wind offshore,104.60000000000001
5644,1,Solar PV,0.0
5644,2,Wind offshore,111.20000000000002
5644,3,Wind onshore,40.8
5644,4,Wind offshore,111.20000000000002
5645,1,Solar PV,0.0
5645,2,Wind offshore,121.0
5645,3,Wind onshore,39.800000000000004
5645,4,Wind offshore,121.0
5646,1,Solar PV,6.2
5646,2,Wind offshore,130.8
5646,3,Wind onshore,35.6
5646,4,Wind offshore,130.8
5647,1,Solar PV,40.400000000000006
5647,2,Wind offshore,138.2
5647,3,Wind onshore,34.599999999999994
5647,4,Wind offshore,138.2
5648,1,Solar PV,77.4
5648,2,Wind offshore,145.2
5648,3,Wind onshore,42.4
5648,4,Wind offshore,145.2
5649,1,Solar PV,107.2
5649,2,Wind offshore,151.6
5649,3,Wind onshore,53.2
5649,4,Wind offshore,151.6
5650,1,Solar PV,94.0
5650,2,Wind offshore,156.4
5650,3,Wind onshore,60.6
5650,4,Wind offshore,156.4
5651,1,Solar PV,76.4
5651,2,Wind offshore,159.8
5651,3,Wind onshore,68.4
5651,4,Wind offshore,159.8
5652,1,Solar PV,114.39999999999999
5652,2,Wind offshore,160.0
5652,3,Wind onshore,75.8
5652,4,Wind offshore,160.0
5653,1,Solar PV,62.8
5653,2,Wind offshore,156.20000000000002
5653,3,Wind onshore,77.60000000000001
5653,4,Wind offshore,156.20000000000002
5654,1,Solar PV,103.8
5654,2,Wind offshore,148.8
5654,3,Wind onshore,76.6
5654,4,Wind offshore,148.8
5655,1,Solar PV,116.39999999999999
5655,2,Wind offshore,139.2
5655,3,Wind onshore,73.8
5655,4,Wind offshore,139.2
5656,1,Solar PV,62.2
5656,2,Wind offshore,127.4
5656,3,Wind onshore,67.4
5656,4,Wind offshore,127.4
5657,1,Solar PV,31.2
5657,2,Wind offshore,113.6
5657,3,Wind onshore,51.0
5657,4,Wind offshore,113.6
5658,1,Solar PV,15.4
5658,2,Wind offshore,99.2
5658,3,Wind onshore,35.199999999999996
5658,4,Wind offshore,99.2
5659,1,Solar PV,0.4
5659,2,Wind offshore,88.4
5659,3,Wind onshore,33.800000000000004
5659,4,Wind offshore,88.4
5660,1,Solar PV,0.0
5660,2,Wind offshore,81.39999999999999
5660,3,Wind onshore,38.0
5660,4,Wind offshore,81.39999999999999
5661,1,Solar PV,0.0
5661,2,Wind offshore,81.8
5661,3,Wind onshore,44.6
5661,4,Wind offshore,81.8
5662,1,Solar PV,0.0
5662,2,Wind offshore,87.2
5662,3,Wind onshore,50.4
5662,4,Wind offshore,87.2
5663,1,Solar PV,0.0
5663,2,Wind offshore,91.0
5663,3,Wind onshore,52.2
5663,4,Wind offshore,91.0
5664,1,Solar PV,0.0
5664,2,Wind offshore,95.19999999999999
5664,3,Wind onshore,54.0
5664,4,Wind offshore,95.19999999999999
5665,1,Solar PV,0.0
5665,2,Wind offshore,99.6
5665,3,Wind onshore,56.00000000000001
5665,4,Wind offshore,99.6
5666,1,Solar PV,0.0
5666,2,Wind offshore,102.0
5666,3,Wind onshore,54.6
5666,4,Wind offshore,102.0
5667,1,Solar PV,0.0
5667,2,Wind offshore,100.2
5667,3,Wind onshore,49.8
5667,4,Wind offshore,100.2
5668,1,Solar PV,0.0
5668,2,Wind offshore,97.6
5668,3,Wind onshore,41.4
5668,4,Wind offshore,97.6
5669,1,Solar PV,0.0
5669,2,Wind offshore,93.60000000000001
5669,3,Wind onshore,36.4
5669,4,Wind offshore,93.60000000000001
5670,1,Solar PV,2.1999999999999997
5670,2,Wind offshore,86.4
5670,3,Wind onshore,30.8
5670,4,Wind offshore,86.4
5671,1,Solar PV,18.4
5671,2,Wind offshore,76.4
5671,3,Wind onshore,24.6
5671,4,Wind offshore,76.4
5672,1,Solar PV,42.8
5672,2,Wind offshore,73.0
5672,3,Wind onshore,28.799999999999997
5672,4,Wind offshore,73.0
5673,1,Solar PV,64.4
5673,2,Wind offshore,74.4
5673,3,Wind onshore,37.6
5673,4,Wind offshore,74.4
5674,1,Solar PV,61.4
5674,2,Wind offshore,74.8
5674,3,Wind onshore,36.8
5674,4,Wind offshore,74.8
5675,1,Solar PV,91.4
5675,2,Wind offshore,69.39999999999999
5675,3,Wind onshore,34.599999999999994
5675,4,Wind offshore,69.39999999999999
5676,1,Solar PV,138.6
5676,2,Wind offshore,64.60000000000001
5676,3,Wind onshore,33.4
5676,4,Wind offshore,64.60000000000001
5677,1,Solar PV,110.80000000000001
5677,2,Wind offshore,61.6
5677,3,Wind onshore,33.0
5677,4,Wind offshore,61.6
5678,1,Solar PV,53.2
5678,2,Wind offshore,52.800000000000004
5678,3,Wind onshore,28.000000000000004
5678,4,Wind offshore,52.800000000000004
5679,1,Solar PV,30.8
5679,2,Wind offshore,42.199999999999996
5679,3,Wind onshore,21.4
5679,4,Wind offshore,42.199999999999996
5680,1,Solar PV,28.199999999999996
5680,2,Wind offshore,30.4
5680,3,Wind onshore,14.2
5680,4,Wind offshore,30.4
5681,1,Solar PV,9.6
5681,2,Wind offshore,21.0
5681,3,Wind onshore,7.6
5681,4,Wind offshore,21.0
5682,1,Solar PV,7.000000000000001
5682,2,Wind offshore,14.000000000000002
5682,3,Wind onshore,3.5999999999999996
5682,4,Wind offshore,14.000000000000002
5683,1,Solar PV,0.2
5683,2,Wind offshore,9.0
