time,unit,fuel,output
1,1,Solar PV,-0.0
1,2,Wind offshore,-206.29096616165006
1,3,Wind onshore,-0.0
1,4,Wind offshore,-0.0
2,1,Solar PV,-0.0
2,2,Wind offshore,-162.64281788513156
2,3,Wind onshore,-0.0
2,4,Wind offshore,-0.0
3,1,Solar PV,-0.0
3,2,Wind offshore,-123.3551818177407
3,3,Wind onshore,-0.0
3,4,Wind offshore,-0.0
4,1,Solar PV,-0.0
4,2,Wind offshore,-95.39590331734334
4,3,Wind onshore,-0.0
4,4,Wind offshore,-0.0
5,1,Solar PV,-0.0
5,2,Wind offshore,-69.09180284595851
5,3,Wind onshore,-0.0
5,4,Wind offshore,-0.0
6,1,Solar PV,-0.0
6,2,Wind offshore,-25.593483078450706
6,3,Wind onshore,-0.0
6,4,Wind offshore,-0.0
7,1,Solar PV,-0.0
7,2,Wind offshore,-34.61958882763771
7,3,Wind onshore,-0.0
7,4,Wind offshore,-0.0
8,1,Solar PV,-0.0
8,2,Wind offshore,-57.67020967162209
8,3,Wind onshore,-0.0
8,4,Wind offshore,-0.0
9,1,Solar PV,-0.0
9,2,Wind offshore,-116.45049863984723
9,3,Wind onshore,-0.0
9,4,Wind offshore,-0.0
10,1,Solar PV,-0.0
10,2,Wind offshore,-169.4473034307321
10,3,Wind onshore,-0.0
10,4,Wind offshore,-0.0
11,1,Solar PV,-0.0
11,2,Wind offshore,-191.99269794211338
11,3,Wind onshore,-0.0
11,4,Wind offshore,-0.0
12,1,Solar PV,-0.0
12,2,Wind offshore,-178.105888997343
12,3,Wind onshore,-0.0
12,4,Wind offshore,-0.0
13,1,Solar PV,-0.0
13,2,Wind offshore,-158.91385022940335
13,3,Wind onshore,-0.0
13,4,Wind offshore,-0.0
14,1,Solar PV,-0.0
14,2,Wind offshore,-160.9673769175207
14,3,Wind onshore,-0.0
14,4,Wind offshore,-0.0
15,1,Solar PV,-0.0
15,2,Wind offshore,-200.37329074902695
15,3,Wind onshore,-0.0
15,4,Wind offshore,-0.0
16,1,Solar PV,-0.0
16,2,Wind offshore,-261.9167695202581
16,3,Wind onshore,-0.0
16,4,Wind offshore,-0.0
17,1,Solar PV,-0.0
17,2,Wind offshore,-268.39203245513494
17,3,Wind onshore,-0.0
17,4,Wind offshore,-0.0
18,1,Solar PV,-0.0
18,2,Wind offshore,-279.97233157573436
18,3,Wind onshore,-0.0
18,4,Wind offshore,-0.0
19,1,Solar PV,-0.0
19,2,Wind offshore,-291.6932308373616
19,3,Wind onshore,-0.0
19,4,Wind offshore,-0.0
20,1,Solar PV,-0.0
20,2,Wind offshore,-302.58941058017666
20,3,Wind onshore,-0.0
20,4,Wind offshore,-0.0
21,1,Solar PV,-0.0
21,2,Wind offshore,-314.77263190575144
21,3,Wind onshore,-0.0
21,4,Wind offshore,-0.0
22,1,Solar PV,-0.0
22,2,Wind offshore,-319.88963078504275
22,3,Wind onshore,-0.0
22,4,Wind offshore,-0.0
23,1,Solar PV,-0.0
23,2,Wind offshore,-254.32586427854577
