time,unit,fuel,output
1,1,PtG,0.0
1,2,PtG,102.40283234023835
1,3,PtG,4.722017299625458
1,4,PtG,11.051529850187226
2,1,PtG,0.0
2,2,PtG,79.72742807434554
2,3,PtG,10.824713401341556
2,4,PtG,26.3342207993293
3,1,PtG,0.0
3,2,PtG,59.23729538934729
3,3,PtG,16.118062878965926
3,4,PtG,38.59563356051707
4,1,PtG,0.0
4,2,PtG,57.81548872979086
4,3,PtG,24.664769540418312
4,4,PtG,22.08990922240902
5,1,PtG,0.0
5,2,PtG,69.09180284595811
5,3,PtG,0.0
5,4,PtG,0.0
6,1,PtG,0.0
6,2,PtG,25.593483078450685
6,3,PtG,0.0
6,4,PtG,0.0
7,1,PtG,0.0
7,2,PtG,34.61958882763785
7,3,PtG,0.0
7,4,PtG,0.0
8,1,PtG,0.0
8,2,PtG,57.67020967162204
8,3,PtG,0.0
8,4,PtG,0.0
9,1,PtG,0.0
9,2,PtG,53.85930664032412
9,3,PtG,24.607926778010498
9,4,PtG,53.02338377382204
10,1,PtG,0.0
10,2,PtG,82.66892076368325
10,3,PtG,12.428896831168878
10,4,PtG,28.167263232767368
11,1,PtG,0.0
11,2,PtG,95.65849609908864
11,3,PtG,3.08122366917295
11,4,PtG,8.563989315789545
12,1,PtG,0.0
12,2,PtG,88.86841799541993
12,3,PtG,2.1196072409638553
12,4,PtG,6.332653732262372
13,1,PtG,0.0
13,2,PtG,78.88453879711807
13,3,PtG,5.877399724305238
13,4,PtG,16.999968923687668
14,1,PtG,0.0
14,2,PtG,79.29541772034119
14,3,PtG,8.489953173913046
14,4,PtG,21.22488293478262
15,1,PtG,0.0
15,2,PtG,98.66293143745679
15,3,PtG,7.639011517985617
15,4,PtG,14.907764824640314
16,1,PtG,0.0
16,2,PtG,130.9583847601291
16,3,PtG,0.0
16,4,PtG,0.0
17,1,PtG,0.0
17,2,PtG,134.19601622756772
17,3,PtG,0.0
17,4,PtG,0.0
18,1,PtG,0.0
18,2,PtG,139.98616578786718
18,3,PtG,0.0
18,4,PtG,0.0
19,1,PtG,0.0
19,2,PtG,145.84661541868078
19,3,PtG,0.0
19,4,PtG,0.0
20,1,PtG,0.0
20,2,PtG,151.29470529008833
20,3,PtG,0.0
20,4,PtG,0.0
21,1,PtG,0.0
21,2,PtG,157.38631595287572
21,3,PtG,0.0
21,4,PtG,0.0
22,1,PtG,0.0
22,2,PtG,159.94481539252152
22,3,PtG,0.0
22,4,PtG,0.0
23,1,PtG,0.0
23,2,PtG,123.34742571441089
23,3,PtG,18.100016381262694
23,4,PtG,33.43138780936861
24,1,PtG,0.0
24,2,PtG,84.04764191638507
24,3,PtG,37.358891298748475
24,4,PtG,68.45612285062575
25,1,PtG,0.0
25,2,PtG,92.52464279456436
25,3,PtG,52.139911410871306
25,4,PtG,0.6296118854542953
26,1,PtG,0.0
26,2,PtG,101.4246392270917
26,3,PtG,18.528134326954238
26,4,PtG,0.0
27,1,PtG,0.0
27,2,PtG,101.81685208233895
27,3,PtG,16.522518018318433
27,4,PtG,0.0
28,1,PtG,0.0
28,2,PtG,86.8947122904648
28,3,PtG,51.90173241907055
28,4,PtG,18.71242103614037
29,1,PtG,0.0
29,2,PtG,107.02541468785192
29,3,PtG,27.20169719269775
29,4,PtG,46.58962140365108
30,1,PtG,0.0
30,2,PtG,161.47764410238983
30,3,PtG,0.0
30,4,PtG,0.0
31,1,PtG,0.0
31,2,PtG,0.0
31,3,PtG,0.0
31,4,PtG,0.0
32,1,PtG,0.0
32,2,PtG,0.0
32,3,PtG,0.0
32,4,PtG,0.0
33,1,PtG,0.0
33,2,PtG,0.0
33,3,PtG,0.0
33,4,PtG,0.0
34,1,PtG,0.0
34,2,PtG,0.0
34,3,PtG,0.0
34,4,PtG,0.0
35,1,PtG,0.0
35,2,PtG,0.0
35,3,PtG,0.0
35,4,PtG,0.0
36,1,PtG,0.0
36,2,PtG,0.0
36,3,PtG,0.0
36,4,PtG,0.0
37,1,PtG,0.0
37,2,PtG,0.0
37,3,PtG,0.0
37,4,PtG,0.0
38,1,PtG,0.0
38,2,PtG,0.0
38,3,PtG,0.0
38,4,PtG,0.0
39,1,PtG,0.0
39,2,PtG,0.0
39,3,PtG,0.0
39,4,PtG,0.0
40,1,PtG,0.0
40,2,PtG,0.0
40,3,PtG,0.0
40,4,PtG,0.0
41,1,PtG,0.0
41,2,PtG,0.0
41,3,PtG,0.0
41,4,PtG,0.0
42,1,PtG,0.0
42,2,PtG,0.0
42,3,PtG,0.0
42,4,PtG,0.0
43,1,PtG,0.0
43,2,PtG,0.0
43,3,PtG,0.0
43,4,PtG,0.0
44,1,PtG,0.0
44,2,PtG,0.0
44,3,PtG,0.0
44,4,PtG,0.0
45,1,PtG,0.0
45,2,PtG,0.0
45,3,PtG,0.0
45,4,PtG,0.0
46,1,PtG,0.0
46,2,PtG,0.0
46,3,PtG,0.0
46,4,PtG,0.0
47,1,PtG,0.0
47,2,PtG,96.63645348698081
47,3,PtG,0.0
47,4,PtG,0.0
48,1,PtG,0.0
48,2,PtG,91.57157398643601
48,3,PtG,0.0
48,4,PtG,0.0
49,1,PtG,0.0
49,2,PtG,91.26071473699496
49,3,PtG,0.0
49,4,PtG,0.0
50,1,PtG,0.0
50,2,PtG,91.51378620042627
50,3,PtG,0.0
50,4,PtG,0.0
51,1,PtG,0.0
51,2,PtG,97.93899082050707
51,3,PtG,0.0
51,4,PtG,0.0
52,1,PtG,0.0
52,2,PtG,102.11527601242827
52,3,PtG,0.0
52,4,PtG,0.0
53,1,PtG,0.0
53,2,PtG,115.74931497225234
53,3,PtG,0.0
53,4,PtG,0.0
54,1,PtG,0.0
54,2,PtG,120.79112695607506
54,3,PtG,0.0
54,4,PtG,0.0
55,1,PtG,0.0
55,2,PtG,0.0
55,3,PtG,0.0
55,4,PtG,0.0
56,1,PtG,0.0
56,2,PtG,0.0
56,3,PtG,0.0
56,4,PtG,0.0
57,1,PtG,0.0
57,2,PtG,0.0
57,3,PtG,0.0
57,4,PtG,0.0
58,1,PtG,0.0
58,2,PtG,0.0
58,3,PtG,0.0
58,4,PtG,0.0
59,1,PtG,0.0
59,2,PtG,0.0
59,3,PtG,0.0
59,4,PtG,0.0
60,1,PtG,0.0
60,2,PtG,0.0
60,3,PtG,0.0
60,4,PtG,0.0
61,1,PtG,0.0
61,2,PtG,0.0
61,3,PtG,0.0
61,4,PtG,0.0
62,1,PtG,0.0
62,2,PtG,0.0
62,3,PtG,0.0
62,4,PtG,0.0
63,1,PtG,0.0
63,2,PtG,0.0
63,3,PtG,0.0
63,4,PtG,0.0
64,1,PtG,0.0
64,2,PtG,0.0
64,3,PtG,0.0
64,4,PtG,0.0
65,1,PtG,0.0
65,2,PtG,0.0
65,3,PtG,0.0
65,4,PtG,0.0
66,1,PtG,0.0
66,2,PtG,0.0
66,3,PtG,0.0
66,4,PtG,0.0
67,1,PtG,0.0
67,2,PtG,0.0
67,3,PtG,0.0
67,4,PtG,0.0
68,1,PtG,0.0
68,2,PtG,0.0
68,3,PtG,0.0
68,4,PtG,0.0
69,1,PtG,0.0
69,2,PtG,161.70014547134383
69,3,PtG,0.0
69,4,PtG,0.0
70,1,PtG,0.0
70,2,PtG,168.15771543847805
70,3,PtG,0.0
70,4,PtG,0.0
71,1,PtG,0.0
71,2,PtG,172.29894975696848
71,3,PtG,0.0
71,4,PtG,0.0
72,1,PtG,0.0
72,2,PtG,178.44831237463006
72,3,PtG,0.0
72,4,PtG,0.0
73,1,PtG,0.0
73,2,PtG,181.13716274044484
73,3,PtG,0.0
73,4,PtG,0.0
74,1,PtG,0.0
74,2,PtG,166.9858497484724
74,3,PtG,7.995735610471644
74,4,PtG,10.002467694764228
75,1,PtG,0.0
75,2,PtG,170.32845649122072
75,3,PtG,4.5034496148065095
75,4,PtG,5.856312692596788
76,1,PtG,0.0
76,2,PtG,171.921811616382
76,3,PtG,0.0
76,4,PtG,0.0
77,1,PtG,0.0
77,2,PtG,160.7622559010189
77,3,PtG,0.0
77,4,PtG,0.0
78,1,PtG,0.0
78,2,PtG,148.05232782877448
78,3,PtG,0.0
78,4,PtG,0.0
79,1,PtG,0.0
79,2,PtG,0.0
79,3,PtG,0.0
79,4,PtG,0.0
80,1,PtG,0.0
80,2,PtG,0.0
80,3,PtG,0.0
80,4,PtG,0.0
81,1,PtG,0.0
81,2,PtG,0.0
81,3,PtG,0.0
81,4,PtG,0.0
82,1,PtG,0.0
82,2,PtG,0.0
82,3,PtG,0.0
82,4,PtG,0.0
83,1,PtG,0.0
83,2,PtG,0.0
