time,unit,fuel,output
1,1,Solar PV,0.0
1,2,Wind offshore,127.17492300000009
1,3,Wind onshore,65.8
1,4,Wind offshore,154.0
2,1,Solar PV,0.0
2,2,Wind offshore,145.9068449999998
2,3,Wind onshore,0.0
2,4,Wind offshore,148.4
3,1,Solar PV,0.0
3,2,Wind offshore,106.29066999999995
3,3,Wind onshore,0.0
3,4,Wind offshore,140.79999999999998
4,1,Solar PV,0.0
4,2,Wind offshore,67.70425299999997
4,3,Wind onshore,0.0
4,4,Wind offshore,145.79999999999998
5,1,Solar PV,0.0
5,2,Wind offshore,119.60244499999985
5,3,Wind onshore,62.2
5,4,Wind offshore,0.0
6,1,Solar PV,0.0
6,2,Wind offshore,129.43725
6,3,Wind onshore,0.0
6,4,Wind offshore,0.0
7,1,Solar PV,0.0
7,2,Wind offshore,140.273749
7,3,Wind onshore,0.0
7,4,Wind offshore,0.0
8,1,Solar PV,0.0
8,2,Wind offshore,146.4
8,3,Wind onshore,0.0
8,4,Wind offshore,21.705378999999866
9,1,Solar PV,0.0
9,2,Wind offshore,96.92624599999985
9,3,Wind onshore,0.0
9,4,Wind offshore,150.4
10,1,Solar PV,26.400000000000002
10,2,Wind offshore,153.2
10,3,Wind onshore,0.0
10,4,Wind offshore,147.1826879999997
11,1,Solar PV,68.8
11,2,Wind offshore,127.09395599999976
11,3,Wind onshore,54.400000000000006
11,4,Wind offshore,151.2
12,1,Solar PV,109.2
12,2,Wind offshore,145.2
12,3,Wind onshore,48.6
12,4,Wind offshore,125.65251100000006
13,1,Solar PV,112.79999999999998
13,2,Wind offshore,145.2
13,3,Wind onshore,0.0
13,4,Wind offshore,142.316075
14,1,Solar PV,98.0
14,2,Wind offshore,140.71035899999998
14,3,Wind onshore,0.0
14,4,Wind offshore,147.0
15,1,Solar PV,60.4
15,2,Wind offshore,153.0
15,3,Wind onshore,35.06030199999996
15,4,Wind offshore,153.0
16,1,Solar PV,8.6
16,2,Wind offshore,161.20000000000002
16,3,Wind onshore,97.6
16,4,Wind offshore,161.20000000000002
17,1,Solar PV,0.0
17,2,Wind offshore,169.2
17,3,Wind onshore,98.4
17,4,Wind offshore,169.2
18,1,Solar PV,0.0
18,2,Wind offshore,178.0
18,3,Wind onshore,94.6
18,4,Wind offshore,178.0
19,1,Solar PV,0.0
19,2,Wind offshore,184.0
19,3,Wind onshore,93.60000000000001
19,4,Wind offshore,184.0
20,1,Solar PV,0.0
20,2,Wind offshore,187.0
20,3,Wind onshore,94.39999999999999
20,4,Wind offshore,187.0
21,1,Solar PV,0.0
21,2,Wind offshore,191.2
21,3,Wind onshore,97.6
21,4,Wind offshore,191.2
22,1,Solar PV,0.0
22,2,Wind offshore,192.2
22,3,Wind onshore,101.2
22,4,Wind offshore,192.2
23,1,Solar PV,0.0
23,2,Wind offshore,108.2372080000001
23,3,Wind onshore,104.60000000000001
23,4,Wind offshore,193.2
24,1,Solar PV,0.0
24,2,Wind offshore,194.6
24,3,Wind onshore,0.0
24,4,Wind offshore,126.52886300000006
25,1,Solar PV,0.0
25,2,Wind offshore,0.0
25,3,Wind onshore,68.01080299999998
25,4,Wind offshore,195.2
26,1,Solar PV,0.0
26,2,Wind offshore,0.0
26,3,Wind onshore,113.19999999999999
26,4,Wind offshore,126.89069499999988
27,1,Solar PV,0.0
27,2,Wind offshore,123.44358499999981
27,3,Wind onshore,115.19999999999999
27,4,Wind offshore,0.0
28,1,Solar PV,0.0
28,2,Wind offshore,0.0
28,3,Wind onshore,81.30884299999988
28,4,Wind offshore,192.2
29,1,Solar PV,0.0
29,2,Wind offshore,181.8190600000001
29,3,Wind onshore,0.0
29,4,Wind offshore,190.79999999999998
30,1,Solar PV,0.0
30,2,Wind offshore,191.6
30,3,Wind onshore,110.00000000000001
30,4,Wind offshore,191.6
31,1,Solar PV,0.0
31,2,Wind offshore,189.79999999999998
31,3,Wind onshore,111.60000000000001
31,4,Wind offshore,189.79999999999998
32,1,Solar PV,0.6
32,2,Wind offshore,183.0
32,3,Wind onshore,113.6
32,4,Wind offshore,183.0
33,1,Solar PV,5.2
33,2,Wind offshore,182.0
33,3,Wind onshore,121.6
33,4,Wind offshore,182.0
34,1,Solar PV,7.199999999999999
34,2,Wind offshore,177.4
34,3,Wind onshore,107.80000000000001
34,4,Wind offshore,177.4
35,1,Solar PV,15.2
35,2,Wind offshore,170.79999999999998
35,3,Wind onshore,100.8
35,4,Wind offshore,170.79999999999998
36,1,Solar PV,21.4
36,2,Wind offshore,170.6
36,3,Wind onshore,90.0
36,4,Wind offshore,170.6
37,1,Solar PV,31.2
37,2,Wind offshore,167.4
37,3,Wind onshore,91.8
37,4,Wind offshore,167.4
38,1,Solar PV,17.4
38,2,Wind offshore,169.4
38,3,Wind onshore,91.8
38,4,Wind offshore,169.4
39,1,Solar PV,20.599999999999998
39,2,Wind offshore,171.2
39,3,Wind onshore,98.8
39,4,Wind offshore,171.2
40,1,Solar PV,8.6
40,2,Wind offshore,172.6
40,3,Wind onshore,109.60000000000001
40,4,Wind offshore,172.6
41,1,Solar PV,0.0
41,2,Wind offshore,177.4
41,3,Wind onshore,112.20000000000002
41,4,Wind offshore,177.4
42,1,Solar PV,0.0
42,2,Wind offshore,173.8
42,3,Wind onshore,106.60000000000001
42,4,Wind offshore,173.8
43,1,Solar PV,0.0
43,2,Wind offshore,169.6
43,3,Wind onshore,93.2
43,4,Wind offshore,169.6
44,1,Solar PV,0.0
44,2,Wind offshore,165.79999999999998
44,3,Wind onshore,86.2
44,4,Wind offshore,165.79999999999998
45,1,Solar PV,0.0
45,2,Wind offshore,158.0
45,3,Wind onshore,78.2
45,4,Wind offshore,158.0
46,1,Solar PV,0.0
46,2,Wind offshore,150.4
46,3,Wind onshore,75.8
46,4,Wind offshore,150.4
47,1,Solar PV,0.0
47,2,Wind offshore,138.79999999999998
47,3,Wind onshore,74.4
47,4,Wind offshore,138.79999999999998
48,1,Solar PV,0.0
48,2,Wind offshore,132.0
48,3,Wind onshore,70.6
48,4,Wind offshore,132.0
49,1,Solar PV,0.0
49,2,Wind offshore,130.8
49,3,Wind onshore,67.4
49,4,Wind offshore,130.8
50,1,Solar PV,0.0
50,2,Wind offshore,131.20000000000002
50,3,Wind onshore,64.60000000000001
50,4,Wind offshore,131.20000000000002
51,1,Solar PV,0.0
51,2,Wind offshore,139.6
51,3,Wind onshore,62.2
51,4,Wind offshore,139.6
52,1,Solar PV,0.0
52,2,Wind offshore,145.0
52,3,Wind onshore,62.6
52,4,Wind offshore,145.0
53,1,Solar PV,0.0
53,2,Wind offshore,160.8
53,3,Wind onshore,65.60000000000001
53,4,Wind offshore,160.8
54,1,Solar PV,0.0
54,2,Wind offshore,171.8
54,3,Wind onshore,72.8
54,4,Wind offshore,171.8
55,1,Solar PV,0.0
55,2,Wind offshore,182.6
55,3,Wind onshore,86.0
55,4,Wind offshore,182.6
56,1,Solar PV,0.0
56,2,Wind offshore,189.0
56,3,Wind onshore,99.6
56,4,Wind offshore,189.0
57,1,Solar PV,8.6
57,2,Wind offshore,192.4
57,3,Wind onshore,107.60000000000001
57,4,Wind offshore,192.4
58,1,Solar PV,23.400000000000002
58,2,Wind offshore,195.6
58,3,Wind onshore,129.0
58,4,Wind offshore,195.6
59,1,Solar PV,21.2
59,2,Wind offshore,196.0
59,3,Wind onshore,151.2
59,4,Wind offshore,196.0
60,1,Solar PV,18.2
60,2,Wind offshore,193.4
60,3,Wind onshore,143.6
60,4,Wind offshore,193.4
61,1,Solar PV,14.000000000000002
61,2,Wind offshore,190.0
61,3,Wind onshore,134.60000000000002
61,4,Wind offshore,190.0
62,1,Solar PV,18.2
62,2,Wind offshore,189.39999999999998
62,3,Wind onshore,124.6
62,4,Wind offshore,189.39999999999998
63,1,Solar PV,42.8
63,2,Wind offshore,188.39999999999998
63,3,Wind onshore,129.8
63,4,Wind offshore,188.39999999999998
64,1,Solar PV,0.0
64,2,Wind offshore,188.2
64,3,Wind onshore,133.20000000000002
64,4,Wind offshore,188.2
