time,unit,fuel,output
1,1,NaturalGas,30.4
1,2,NaturalGas,30.4
1,3,Lignite,75.0
1,4,Nuclear,206.85
1,5,Oil,12.0
1,6,NaturalGas,54.24
1,7,NaturalGas,54.24
1,8,HardCoal,100.0
1,9,HardCoal,100.0
1,10,Lignite,300.0
1,11,Lignite,108.5
1,12,HardCoal,140.0
2,1,NaturalGas,30.4
2,2,NaturalGas,30.4
2,3,Lignite,75.0
2,4,Nuclear,206.85
2,5,Oil,12.0
2,6,NaturalGas,54.24
2,7,NaturalGas,54.24
2,8,HardCoal,100.0
2,9,HardCoal,100.0
2,10,Lignite,300.0
2,11,Lignite,108.5
2,12,HardCoal,140.0
3,1,NaturalGas,30.4
3,2,NaturalGas,30.4
3,3,Lignite,75.0
3,4,Nuclear,206.85
3,5,Oil,12.0
3,6,NaturalGas,54.24
3,7,NaturalGas,54.24
3,8,HardCoal,100.0
3,9,HardCoal,100.0
3,10,Lignite,300.0
3,11,Lignite,108.5
3,12,HardCoal,140.0
4,1,NaturalGas,30.4
4,2,NaturalGas,30.4
4,3,Lignite,75.0
4,4,Nuclear,206.85
4,5,Oil,12.0
4,6,NaturalGas,54.24
4,7,NaturalGas,54.24
4,8,HardCoal,100.0
4,9,HardCoal,100.0
4,10,Lignite,300.0
4,11,Lignite,108.5
4,12,HardCoal,140.0
5,1,NaturalGas,30.4
5,2,NaturalGas,30.4
5,3,Lignite,75.0
5,4,Nuclear,206.85
5,5,Oil,12.0
5,6,NaturalGas,54.24
5,7,NaturalGas,54.24
5,8,HardCoal,100.0
5,9,HardCoal,100.0
5,10,Lignite,300.0
5,11,Lignite,108.5
5,12,HardCoal,140.0
6,1,NaturalGas,30.4
6,2,NaturalGas,30.4
6,3,Lignite,75.0
6,4,Nuclear,206.85
6,5,Oil,12.0
6,6,NaturalGas,54.24
6,7,NaturalGas,54.24
6,8,HardCoal,100.0
6,9,HardCoal,100.0
6,10,Lignite,300.0
6,11,Lignite,108.5
6,12,HardCoal,140.0
7,1,NaturalGas,30.4
7,2,NaturalGas,30.4
7,3,Lignite,75.0
7,4,Nuclear,206.85
7,5,Oil,12.0
7,6,NaturalGas,54.24
7,7,NaturalGas,54.24
7,8,HardCoal,100.0
7,9,HardCoal,100.0
7,10,Lignite,300.0
7,11,Lignite,108.5
7,12,HardCoal,140.0
8,1,NaturalGas,30.4
8,2,NaturalGas,30.4
8,3,Lignite,75.0
8,4,Nuclear,206.85
8,5,Oil,12.0
8,6,NaturalGas,54.24
8,7,NaturalGas,54.24
8,8,HardCoal,100.0
8,9,HardCoal,100.0
8,10,Lignite,300.0
8,11,Lignite,108.5
8,12,HardCoal,140.0
9,1,NaturalGas,30.4
9,2,NaturalGas,30.4
9,3,Lignite,75.0
9,4,Nuclear,206.85
9,5,Oil,12.0
9,6,NaturalGas,54.24
9,7,NaturalGas,54.24
9,8,HardCoal,100.0
9,9,HardCoal,100.0
9,10,Lignite,300.0
9,11,Lignite,108.5
9,12,HardCoal,140.0
10,1,NaturalGas,30.4
10,2,NaturalGas,30.4
10,3,Lignite,75.0
10,4,Nuclear,206.85
10,5,Oil,12.0
10,6,NaturalGas,54.24
10,7,NaturalGas,54.24
10,8,HardCoal,100.0
10,9,HardCoal,100.0
10,10,Lignite,300.0
10,11,Lignite,108.5
10,12,HardCoal,140.0
11,1,NaturalGas,30.4
