time,unit,fuel,output
5593,1,Solar PV,-0.0
5593,2,Wind offshore,-115.6894493552997
5593,3,Wind onshore,-0.0
5593,4,Wind offshore,-0.0
5594,1,Solar PV,-0.0
5594,2,Wind offshore,-118.08980449493407
5594,3,Wind onshore,-0.0
5594,4,Wind offshore,-0.0
5595,1,Solar PV,-0.0
5595,2,Wind offshore,-147.1934182605365
5595,3,Wind onshore,-0.0
5595,4,Wind offshore,-0.0
5596,1,Solar PV,-0.0
5596,2,Wind offshore,-228.7694570845093
5596,3,Wind onshore,-0.0
5596,4,Wind offshore,-0.0
5597,1,Solar PV,-0.0
5597,2,Wind offshore,-223.76539659859063
5597,3,Wind onshore,-0.0
5597,4,Wind offshore,-0.0
5598,1,Solar PV,-0.0
5598,2,Wind offshore,-211.85062227780017
5598,3,Wind onshore,-0.0
5598,4,Wind offshore,-0.0
5599,1,Solar PV,-0.0
5599,2,Wind offshore,-218.73211097915993
5599,3,Wind onshore,-0.0
5599,4,Wind offshore,-0.0
5600,1,Solar PV,-0.0
5600,2,Wind offshore,-248.91446094917615
5600,3,Wind onshore,-0.0
5600,4,Wind offshore,-0.0
5601,1,Solar PV,-0.0
5601,2,Wind offshore,-262.3788462240917
5601,3,Wind onshore,-0.0
5601,4,Wind offshore,-0.0
5602,1,Solar PV,-0.0
5602,2,Wind offshore,-266.7975702086162
5602,3,Wind onshore,-0.0
5602,4,Wind offshore,-0.0
5603,1,Solar PV,-0.0
5603,2,Wind offshore,-275.6267342154759
5603,3,Wind onshore,-0.0
5603,4,Wind offshore,-0.0
5604,1,Solar PV,-0.0
5604,2,Wind offshore,-286.11908296957085
5604,3,Wind onshore,-0.0
5604,4,Wind offshore,-0.0
5605,1,Solar PV,-0.0
5605,2,Wind offshore,-291.9688984072756
5605,3,Wind onshore,-0.0
5605,4,Wind offshore,-0.0
5606,1,Solar PV,-0.0
5606,2,Wind offshore,-287.89329430490454
5606,3,Wind onshore,-0.0
5606,4,Wind offshore,-0.0
5607,1,Solar PV,-0.0
5607,2,Wind offshore,-277.0405252798515
5607,3,Wind onshore,-0.0
5607,4,Wind offshore,-0.0
5608,1,Solar PV,-0.0
5608,2,Wind offshore,-249.45669678640763
5608,3,Wind onshore,-0.0
5608,4,Wind offshore,-0.0
5609,1,Solar PV,-0.0
5609,2,Wind offshore,-214.16860895928656
5609,3,Wind onshore,-0.0
5609,4,Wind offshore,-0.0
5610,1,Solar PV,-0.0
5610,2,Wind offshore,-195.5216297918179
5610,3,Wind onshore,-0.0
5610,4,Wind offshore,-0.0
5611,1,Solar PV,-0.0
5611,2,Wind offshore,-185.5129206545176
5611,3,Wind onshore,-0.0
5611,4,Wind offshore,-0.0
5612,1,Solar PV,-0.0
5612,2,Wind offshore,-175.71296794231102
5612,3,Wind onshore,-0.0
5612,4,Wind offshore,-0.0
5613,1,Solar PV,-0.0
5613,2,Wind offshore,-180.72328451539144
5613,3,Wind onshore,-0.0
5613,4,Wind offshore,-0.0
5614,1,Solar PV,-0.0
5614,2,Wind offshore,-194.03875020125128
5614,3,Wind onshore,-0.0
5614,4,Wind offshore,-0.0
5615,1,Solar PV,-0.0
