time,unit,fuel,output
5593,2,SNG,0.0
5593,7,SNG,0.0
5593,6,SNG,0.0
5593,1,SNG,0.0
5594,2,SNG,0.0
5594,7,SNG,0.0
5594,6,SNG,0.0
5594,1,SNG,0.0
5595,2,SNG,0.0
5595,7,SNG,0.0
5595,6,SNG,0.0
5595,1,SNG,0.0
5596,2,SNG,0.0
5596,7,SNG,0.0
5596,6,SNG,0.0
5596,1,SNG,0.0
5597,2,SNG,0.0
5597,7,SNG,0.0
5597,6,SNG,0.0
5597,1,SNG,0.0
5598,2,SNG,0.0
5598,7,SNG,0.0
5598,6,SNG,30.0
5598,1,SNG,0.0
5599,2,SNG,0.0
5599,7,SNG,0.0
5599,6,SNG,19.681339761976524
5599,1,SNG,0.0
5600,2,SNG,0.0
5600,7,SNG,0.0
5600,6,SNG,29.965681824630643
5600,1,SNG,0.0
5601,2,SNG,0.0
5601,7,SNG,0.0
5601,6,SNG,36.93089755747954
5601,1,SNG,0.0
5602,2,SNG,0.0
5602,7,SNG,0.0
5602,6,SNG,30.0
5602,1,SNG,0.0
5603,2,SNG,0.0
5603,7,SNG,0.0
5603,6,SNG,0.0
5603,1,SNG,0.0
5604,2,SNG,0.0
5604,7,SNG,0.0
5604,6,SNG,6.775996562294484
5604,1,SNG,0.0
5605,2,SNG,0.0
5605,7,SNG,0.0
5605,6,SNG,0.0
5605,1,SNG,0.0
5606,2,SNG,0.0
5606,7,SNG,0.0
5606,6,SNG,0.0
5606,1,SNG,0.0
5607,2,SNG,0.0
5607,7,SNG,0.0
5607,6,SNG,0.0
5607,1,SNG,0.0
5608,2,SNG,0.0
5608,7,SNG,0.0
5608,6,SNG,0.0
5608,1,SNG,0.0
5609,2,SNG,0.0
5609,7,SNG,0.0
5609,6,SNG,0.0
5609,1,SNG,0.0
5610,2,SNG,0.0
5610,7,SNG,0.0
5610,6,SNG,0.0
5610,1,SNG,0.0
5611,2,SNG,0.0
5611,7,SNG,0.0
5611,6,SNG,0.0
5611,1,SNG,0.0
5612,2,SNG,0.0
5612,7,SNG,0.0
5612,6,SNG,0.0
5612,1,SNG,0.0
5613,2,SNG,0.0
5613,7,SNG,0.0
5613,6,SNG,0.0
5613,1,SNG,0.0
5614,2,SNG,0.0
5614,7,SNG,0.0
5614,6,SNG,0.0
5614,1,SNG,0.0
5615,2,SNG,0.0
5615,7,SNG,0.0
5615,6,SNG,0.0
5615,1,SNG,0.0
5616,2,SNG,0.0
5616,7,SNG,0.0
5616,6,SNG,0.0
5616,1,SNG,0.0
5617,2,SNG,0.0
5617,7,SNG,0.0
5617,6,SNG,0.0
5617,1,SNG,0.0
5618,2,SNG,0.0
5618,7,SNG,0.0
5618,6,SNG,0.0
5618,1,SNG,0.0
5619,2,SNG,0.0
5619,7,SNG,0.0
5619,6,SNG,0.0
5619,1,SNG,0.0
5620,2,SNG,0.0
5620,7,SNG,0.0
5620,6,SNG,0.0
5620,1,SNG,0.0
5621,2,SNG,0.0
5621,7,SNG,0.0
5621,6,SNG,0.0
5621,1,SNG,0.0
5622,2,SNG,0.0
