time,load
5593,1449.701472
5594,1452.427423
5595,1487.225374
5596,1607.672052
5597,1845.50292
5598,2026.425341
5599,2128.934584
5600,2161.578697
5601,2214.347736
5602,2259.20815
5603,2238.948608
5604,2211.150632
5605,2169.92482
5606,2127.117283
5607,2079.968416
5608,2064.55501
5609,2043.252203
5610,2018.146525
5611,1980.454354
5612,1930.377612
5613,1773.11376
5614,1617.22971
5615,1523.975241
5616,1463.701421
5617,1434.153451
5618,1438.528435
5619,1479.14848
5620,1610.768195
5621,1849.642328
5622,2022.656124
5623,2126.747092
5624,2157.944095
5625,2203.040085
5626,2240.698602
5627,2212.631396
5628,2192.60743
5629,2152.626806
5630,2124.155756
5631,2077.040542
5632,2064.790586
5633,2048.535838
5634,2025.415729
5635,2001.319663
5636,1948.180432
5637,1804.176147
5638,1668.349717
5639,1570.080843
5640,1498.028219
5641,1461.715851
5642,1463.499498
5643,1497.388799
5644,1619.585471
5645,1861.151902
5646,2037.766646
5647,2141.588385
5648,2190.083401
5649,2242.785133
5650,2287.376317
5651,2256.280276
5652,2235.684197
5653,2197.016068
5654,2165.751759
5655,2122.304801
5656,2103.828906
5657,2071.050179
5658,2047.593533
5659,2017.439797
5660,1945.185251
5661,1794.955027
5662,1663.840118
5663,1568.465464
5664,1513.239703
5665,1472.956195
5666,1474.638881
5667,1510.278175
5668,1629.412358
5669,1859.940368
5670,2031.507053
5671,2142.530689
5672,2191.261281
5673,2244.164936
5674,2276.001359
5675,2254.395668
5676,2211.588131
5677,2159.929664
5678,2119.747118
5679,2079.497264
5680,2061.290599
5681,2035.074348
5682,2004.81965
5683,1961.944806
5684,1874.478777
5685,1737.77735
5686,1611.205693
5687,1511.59067
5688,1442.09573
5689,1400.836264
5690,1382.023832
5691,1380.677684
5692,1410.83142
5693,1477.9706
5694,1571.191415
5695,1703.854396
5696,1805.858833
5697,1865.964385
5698,1892.382558
5699,1859.536523
5700,1804.579992
5701,1754.334982
5702,1723.13798
5703,1706.78227
5704,1719.97453
5705,1727.782194
5706,1700.758253
5707,1681.676592
5708,1633.686381
5709,1545.547278
5710,1448.119747
5711,1366.576773
5712,1306.538529
5713,1271.134812
5714,1255.654099
5715,1250.437771
5716,1259.288701
5717,1278.404016
5718,1340.730713
5719,1455.523566
5720,1558.234732
5721,1622.64796
5722,1685.984268
5723,1675.955458
5724,1615.7826
5725,1577.619277
5726,1550.124184
5727,1550.35976
5728,1582.364452
5729,1614.06626
5730,1620.39316
5731,1651.758431
5732,1638.229634
5733,1582.128876
5734,1483.658079
5735,1412.177569
5736,1364.389281
5737,1342.884551
5738,1349.076837
5739,1395.687244
5740,1541.104986
5741,1807.608827
5742,2000.882164
5743,2127.689397
5744,2176.150759
5745,2225.217889
5746,2268.092733
5747,2256.751428
5748,2240.294757
5749,2205.866998
5750,2171.237316
5751,2117.492318
5752,2099.285654
5753,2090.872223
5754,2068.963648
5755,2044.968543
5756,1966.757288
5757,1812.959769
5758,1668.517985
5759,1576.003898
5760,1520.879098
