time,unit,fuel,output,capacity
1,1,Solar PV,0.0,200.0
1,2,Wind offshore,154.0,200.0
1,3,Wind onshore,65.8,200.0
1,4,Wind offshore,154.0,200.0
2,1,Solar PV,0.0,200.0
2,2,Wind offshore,148.4,200.0
2,3,Wind onshore,61.0,200.0
2,4,Wind offshore,148.4,200.0
3,1,Solar PV,0.0,200.0
3,2,Wind offshore,140.79999999999998,200.0
3,3,Wind onshore,58.8,200.0
3,4,Wind offshore,140.79999999999998,200.0
4,1,Solar PV,0.0,200.0
4,2,Wind offshore,145.79999999999998,200.0
4,3,Wind onshore,62.2,200.0
4,4,Wind offshore,145.79999999999998,200.0
5,1,Solar PV,0.0,200.0
5,2,Wind offshore,148.8,200.0
5,3,Wind onshore,62.2,200.0
5,4,Wind offshore,148.8,200.0
6,1,Solar PV,0.0,200.0
6,2,Wind offshore,145.6,200.0
6,3,Wind onshore,59.8,200.0
6,4,Wind offshore,145.6,200.0
7,1,Solar PV,0.0,200.0
7,2,Wind offshore,142.6,200.0
7,3,Wind onshore,57.8,200.0
7,4,Wind offshore,142.6,200.0
8,1,Solar PV,0.0,200.0
8,2,Wind offshore,146.4,200.0
8,3,Wind onshore,62.6,200.0
8,4,Wind offshore,146.4,200.0
9,1,Solar PV,11.4,200.0
9,2,Wind offshore,150.4,200.0
9,3,Wind onshore,69.8,200.0
9,4,Wind offshore,150.4,200.0
10,1,Solar PV,26.400000000000002,200.0
10,2,Wind offshore,153.2,200.0
10,3,Wind onshore,67.60000000000001,200.0
10,4,Wind offshore,153.2,200.0
11,1,Solar PV,68.8,200.0
11,2,Wind offshore,151.2,200.0
11,3,Wind onshore,54.400000000000006,200.0
11,4,Wind offshore,151.2,200.0
12,1,Solar PV,109.2,200.0
12,2,Wind offshore,145.2,200.0
12,3,Wind onshore,48.6,200.0
12,4,Wind offshore,145.2,200.0
13,1,Solar PV,112.79999999999998,200.0
13,2,Wind offshore,145.2,200.0
13,3,Wind onshore,50.2,200.0
13,4,Wind offshore,145.2,200.0
14,1,Solar PV,98.0,200.0
14,2,Wind offshore,147.0,200.0
14,3,Wind onshore,58.8,200.0
14,4,Wind offshore,147.0,200.0
15,1,Solar PV,60.4,200.0
15,2,Wind offshore,153.0,200.0
15,3,Wind onshore,78.4,200.0
15,4,Wind offshore,153.0,200.0
16,1,Solar PV,8.6,200.0
16,2,Wind offshore,161.20000000000002,200.0
16,3,Wind onshore,97.6,200.0
16,4,Wind offshore,161.20000000000002,200.0
17,1,Solar PV,0.0,200.0
17,2,Wind offshore,169.2,200.0
17,3,Wind onshore,98.4,200.0
17,4,Wind offshore,169.2,200.0
18,1,Solar PV,0.0,200.0
18,2,Wind offshore,178.0,200.0
18,3,Wind onshore,94.6,200.0
18,4,Wind offshore,178.0,200.0
19,1,Solar PV,0.0,200.0
19,2,Wind offshore,184.0,200.0
19,3,Wind onshore,93.60000000000001,200.0
19,4,Wind offshore,184.0,200.0
20,1,Solar PV,0.0,200.0
20,2,Wind offshore,187.0,200.0
20,3,Wind onshore,94.39999999999999,200.0
20,4,Wind offshore,187.0,200.0
21,1,Solar PV,0.0,200.0
21,2,Wind offshore,191.2,200.0
21,3,Wind onshore,97.6,200.0
21,4,Wind offshore,191.2,200.0
22,1,Solar PV,0.0,200.0
22,2,Wind offshore,192.2,200.0
22,3,Wind onshore,101.2,200.0
22,4,Wind offshore,192.2,200.0
23,1,Solar PV,0.0,200.0
23,2,Wind offshore,193.2,200.0
23,3,Wind onshore,104.60000000000001,200.0
23,4,Wind offshore,193.2,200.0
24,1,Solar PV,0.0,200.0
24,2,Wind offshore,194.6,200.0
24,3,Wind onshore,106.2,200.0
24,4,Wind offshore,194.6,200.0
25,1,Solar PV,0.0,200.0
25,2,Wind offshore,195.2,200.0
25,3,Wind onshore,110.00000000000001,200.0
25,4,Wind offshore,195.2,200.0
26,1,Solar PV,0.0,200.0
26,2,Wind offshore,194.4,200.0
26,3,Wind onshore,113.19999999999999,200.0
26,4,Wind offshore,194.4,200.0
27,1,Solar PV,0.0,200.0
27,2,Wind offshore,193.79999999999998,200.0
27,3,Wind onshore,115.19999999999999,200.0
27,4,Wind offshore,193.79999999999998,200.0
28,1,Solar PV,0.0,200.0
28,2,Wind offshore,192.2,200.0
28,3,Wind onshore,114.8,200.0
28,4,Wind offshore,192.2,200.0
29,1,Solar PV,0.0,200.0
29,2,Wind offshore,190.79999999999998,200.0
29,3,Wind onshore,111.4,200.0
29,4,Wind offshore,190.79999999999998,200.0
30,1,Solar PV,0.0,200.0
30,2,Wind offshore,191.6,200.0
30,3,Wind onshore,110.00000000000001,200.0
30,4,Wind offshore,191.6,200.0
31,1,Solar PV,0.0,200.0
31,2,Wind offshore,189.79999999999998,200.0
31,3,Wind onshore,111.60000000000001,200.0
31,4,Wind offshore,189.79999999999998,200.0
32,1,Solar PV,0.6,200.0
32,2,Wind offshore,183.0,200.0
32,3,Wind onshore,113.6,200.0
32,4,Wind offshore,183.0,200.0
33,1,Solar PV,5.2,200.0
33,2,Wind offshore,182.0,200.0
33,3,Wind onshore,121.6,200.0
33,4,Wind offshore,182.0,200.0
34,1,Solar PV,7.199999999999999,200.0
34,2,Wind offshore,177.4,200.0
34,3,Wind onshore,107.80000000000001,200.0
34,4,Wind offshore,177.4,200.0
35,1,Solar PV,15.2,200.0
35,2,Wind offshore,170.79999999999998,200.0
35,3,Wind onshore,100.8,200.0
35,4,Wind offshore,170.79999999999998,200.0
36,1,Solar PV,21.4,200.0
36,2,Wind offshore,170.6,200.0
36,3,Wind onshore,90.0,200.0
36,4,Wind offshore,170.6,200.0
37,1,Solar PV,31.2,200.0
37,2,Wind offshore,167.4,200.0
37,3,Wind onshore,91.8,200.0
37,4,Wind offshore,167.4,200.0
38,1,Solar PV,17.4,200.0
38,2,Wind offshore,169.4,200.0
38,3,Wind onshore,91.8,200.0
38,4,Wind offshore,169.4,200.0
39,1,Solar PV,20.599999999999998,200.0
39,2,Wind offshore,171.2,200.0
39,3,Wind onshore,98.8,200.0
39,4,Wind offshore,171.2,200.0
40,1,Solar PV,8.6,200.0
40,2,Wind offshore,172.6,200.0
40,3,Wind onshore,109.60000000000001,200.0
40,4,Wind offshore,172.6,200.0
41,1,Solar PV,0.0,200.0
41,2,Wind offshore,177.4,200.0
41,3,Wind onshore,112.20000000000002,200.0
41,4,Wind offshore,177.4,200.0
42,1,Solar PV,0.0,200.0
42,2,Wind offshore,173.8,200.0
42,3,Wind onshore,106.60000000000001,200.0
42,4,Wind offshore,173.8,200.0
43,1,Solar PV,0.0,200.0
43,2,Wind offshore,169.6,200.0
43,3,Wind onshore,93.2,200.0
43,4,Wind offshore,169.6,200.0
44,1,Solar PV,0.0,200.0
44,2,Wind offshore,165.79999999999998,200.0
44,3,Wind onshore,86.2,200.0
44,4,Wind offshore,165.79999999999998,200.0
45,1,Solar PV,0.0,200.0
45,2,Wind offshore,158.0,200.0
45,3,Wind onshore,78.2,200.0
45,4,Wind offshore,158.0,200.0
46,1,Solar PV,0.0,200.0
46,2,Wind offshore,150.4,200.0
46,3,Wind onshore,75.8,200.0
46,4,Wind offshore,150.4,200.0
47,1,Solar PV,0.0,200.0
47,2,Wind offshore,138.79999999999998,200.0
47,3,Wind onshore,74.4,200.0
47,4,Wind offshore,138.79999999999998,200.0
48,1,Solar PV,0.0,200.0
48,2,Wind offshore,132.0,200.0
48,3,Wind onshore,70.6,200.0
48,4,Wind offshore,132.0,200.0
49,1,Solar PV,0.0,200.0
49,2,Wind offshore,130.8,200.0
49,3,Wind onshore,67.4,200.0
49,4,Wind offshore,130.8,200.0
50,1,Solar PV,0.0,200.0
50,2,Wind offshore,131.20000000000002,200.0
50,3,Wind onshore,64.60000000000001,200.0
50,4,Wind offshore,131.20000000000002,200.0
51,1,Solar PV,0.0,200.0
51,2,Wind offshore,139.6,200.0
51,3,Wind onshore,62.2,200.0
51,4,Wind offshore,139.6,200.0
52,1,Solar PV,0.0,200.0
52,2,Wind offshore,145.0,200.0
52,3,Wind onshore,62.6,200.0
52,4,Wind offshore,145.0,200.0
53,1,Solar PV,0.0,200.0
53,2,Wind offshore,160.8,200.0
53,3,Wind onshore,65.60000000000001,200.0
53,4,Wind offshore,160.8,200.0
54,1,Solar PV,0.0,200.0
54,2,Wind offshore,171.8,200.0
54,3,Wind onshore,72.8,200.0
54,4,Wind offshore,171.8,200.0
55,1,Solar PV,0.0,200.0
55,2,Wind offshore,182.6,200.0
55,3,Wind onshore,86.0,200.0
55,4,Wind offshore,182.6,200.0
56,1,Solar PV,0.0,200.0
56,2,Wind offshore,189.0,200.0
56,3,Wind onshore,99.6,200.0
56,4,Wind offshore,189.0,200.0
57,1,Solar PV,8.6,200.0
57,2,Wind offshore,192.4,200.0
57,3,Wind onshore,107.60000000000001,200.0
57,4,Wind offshore,192.4,200.0
58,1,Solar PV,23.400000000000002,200.0
58,2,Wind offshore,195.6,200.0
58,3,Wind onshore,129.0,200.0
58,4,Wind offshore,195.6,200.0
59,1,Solar PV,21.2,200.0
59,2,Wind offshore,196.0,200.0
59,3,Wind onshore,151.2,200.0
59,4,Wind offshore,196.0,200.0
60,1,Solar PV,18.2,200.0
60,2,Wind offshore,193.4,200.0
60,3,Wind onshore,143.6,200.0
60,4,Wind offshore,193.4,200.0
61,1,Solar PV,14.000000000000002,200.0
61,2,Wind offshore,190.0,200.0
61,3,Wind onshore,134.60000000000002,200.0
61,4,Wind offshore,190.0,200.0
62,1,Solar PV,18.2,200.0
62,2,Wind offshore,189.39999999999998,200.0
62,3,Wind onshore,124.6,200.0
62,4,Wind offshore,189.39999999999998,200.0
63,1,Solar PV,42.8,200.0
63,2,Wind offshore,188.39999999999998,200.0
63,3,Wind onshore,129.8,200.0
63,4,Wind offshore,188.39999999999998,200.0
64,1,Solar PV,0.0,200.0
64,2,Wind offshore,188.2,200.0
64,3,Wind onshore,133.20000000000002,200.0
64,4,Wind offshore,188.2,200.0
65,1,Solar PV,0.0,200.0
65,2,Wind offshore,187.6,200.0
65,3,Wind onshore,134.0,200.0
65,4,Wind offshore,187.6,200.0
66,1,Solar PV,0.0,200.0
66,2,Wind offshore,186.4,200.0
66,3,Wind onshore,138.39999999999998,200.0
66,4,Wind offshore,186.4,200.0
67,1,Solar PV,0.0,200.0
67,2,Wind offshore,184.20000000000002,200.0
67,3,Wind onshore,147.8,200.0
67,4,Wind offshore,184.20000000000002,200.0
68,1,Solar PV,0.0,200.0
68,2,Wind offshore,185.20000000000002,200.0
68,3,Wind onshore,153.2,200.0
68,4,Wind offshore,185.20000000000002,200.0
69,1,Solar PV,0.0,200.0
69,2,Wind offshore,186.0,200.0
69,3,Wind onshore,154.6,200.0
69,4,Wind offshore,186.0,200.0
70,1,Solar PV,0.0,200.0
70,2,Wind offshore,187.6,200.0
70,3,Wind onshore,153.6,200.0
70,4,Wind offshore,187.6,200.0
71,1,Solar PV,0.0,200.0
71,2,Wind offshore,189.39999999999998,200.0
71,3,Wind onshore,150.6,200.0
71,4,Wind offshore,189.39999999999998,200.0
72,1,Solar PV,0.0,200.0
72,2,Wind offshore,191.2,200.0
72,3,Wind onshore,155.6,200.0
72,4,Wind offshore,191.2,200.0
73,1,Solar PV,0.0,200.0
73,2,Wind offshore,192.4,200.0
73,3,Wind onshore,155.6,200.0
73,4,Wind offshore,192.4,200.0
74,1,Solar PV,0.0,200.0
74,2,Wind offshore,192.4,200.0
74,3,Wind onshore,153.8,200.0
74,4,Wind offshore,192.4,200.0
75,1,Solar PV,0.0,200.0
75,2,Wind offshore,192.2,200.0
75,3,Wind onshore,147.8,200.0
75,4,Wind offshore,192.2,200.0
76,1,Solar PV,0.0,200.0
76,2,Wind offshore,191.6,200.0
76,3,Wind onshore,134.4,200.0
76,4,Wind offshore,191.6,200.0
77,1,Solar PV,0.0,200.0
77,2,Wind offshore,190.79999999999998,200.0
77,3,Wind onshore,112.4,200.0
77,4,Wind offshore,190.79999999999998,200.0
78,1,Solar PV,0.0,200.0
78,2,Wind offshore,189.39999999999998,200.0
78,3,Wind onshore,104.4,200.0
78,4,Wind offshore,189.39999999999998,200.0
79,1,Solar PV,0.0,200.0
79,2,Wind offshore,186.20000000000002,200.0
79,3,Wind onshore,98.4,200.0
79,4,Wind offshore,186.20000000000002,200.0
80,1,Solar PV,0.0,200.0
80,2,Wind offshore,178.8,200.0
80,3,Wind onshore,92.80000000000001,200.0
80,4,Wind offshore,178.8,200.0
81,1,Solar PV,1.2,200.0
81,2,Wind offshore,169.0,200.0
81,3,Wind onshore,78.0,200.0
81,4,Wind offshore,169.0,200.0
82,1,Solar PV,4.3999999999999995,200.0
82,2,Wind offshore,158.8,200.0
82,3,Wind onshore,68.2,200.0
82,4,Wind offshore,158.8,200.0
83,1,Solar PV,18.6,200.0
83,2,Wind offshore,146.8,200.0
83,3,Wind onshore,46.0,200.0
83,4,Wind offshore,146.8,200.0
84,1,Solar PV,22.0,200.0
84,2,Wind offshore,142.0,200.0
84,3,Wind onshore,42.6,200.0
84,4,Wind offshore,142.0,200.0
85,1,Solar PV,17.599999999999998,200.0
85,2,Wind offshore,149.4,200.0
85,3,Wind onshore,54.6,200.0
85,4,Wind offshore,149.4,200.0
86,1,Solar PV,12.0,200.0
86,2,Wind offshore,157.8,200.0
86,3,Wind onshore,73.6,200.0
86,4,Wind offshore,157.8,200.0
87,1,Solar PV,3.5999999999999996,200.0
87,2,Wind offshore,169.2,200.0
87,3,Wind onshore,84.39999999999999,200.0
87,4,Wind offshore,169.2,200.0
88,1,Solar PV,0.4,200.0
88,2,Wind offshore,176.4,200.0
88,3,Wind onshore,86.6,200.0
88,4,Wind offshore,176.4,200.0
89,1,Solar PV,0.0,200.0
89,2,Wind offshore,177.0,200.0
89,3,Wind onshore,80.0,200.0
89,4,Wind offshore,177.0,200.0
90,1,Solar PV,0.0,200.0
90,2,Wind offshore,172.6,200.0
90,3,Wind onshore,71.8,200.0
90,4,Wind offshore,172.6,200.0
91,1,Solar PV,0.0,200.0
91,2,Wind offshore,164.0,200.0
91,3,Wind onshore,69.19999999999999,200.0
91,4,Wind offshore,164.0,200.0
92,1,Solar PV,0.0,200.0
92,2,Wind offshore,161.8,200.0
92,3,Wind onshore,61.6,200.0
92,4,Wind offshore,161.8,200.0
93,1,Solar PV,0.0,200.0
93,2,Wind offshore,160.20000000000002,200.0
93,3,Wind onshore,52.2,200.0
93,4,Wind offshore,160.20000000000002,200.0
94,1,Solar PV,0.0,200.0
94,2,Wind offshore,146.4,200.0
94,3,Wind onshore,53.400000000000006,200.0
94,4,Wind offshore,146.4,200.0
95,1,Solar PV,0.0,200.0
95,2,Wind offshore,131.20000000000002,200.0
95,3,Wind onshore,50.2,200.0
95,4,Wind offshore,131.20000000000002,200.0
96,1,Solar PV,0.0,200.0
96,2,Wind offshore,122.6,200.0
96,3,Wind onshore,41.4,200.0
96,4,Wind offshore,122.6,200.0
97,1,Solar PV,0.0,200.0
97,2,Wind offshore,104.60000000000001,200.0
97,3,Wind onshore,31.0,200.0
97,4,Wind offshore,104.60000000000001,200.0
98,1,Solar PV,0.0,200.0
98,2,Wind offshore,71.6,200.0
98,3,Wind onshore,28.199999999999996,200.0
98,4,Wind offshore,71.6,200.0
99,1,Solar PV,0.0,200.0
99,2,Wind offshore,53.6,200.0
99,3,Wind onshore,25.2,200.0
99,4,Wind offshore,53.6,200.0
100,1,Solar PV,0.0,200.0
100,2,Wind offshore,49.2,200.0
100,3,Wind onshore,24.0,200.0
100,4,Wind offshore,49.2,200.0
101,1,Solar PV,0.0,200.0
101,2,Wind offshore,50.2,200.0
101,3,Wind onshore,26.8,200.0
101,4,Wind offshore,50.2,200.0
102,1,Solar PV,0.0,200.0
102,2,Wind offshore,57.99999999999999,200.0
102,3,Wind onshore,32.6,200.0
102,4,Wind offshore,57.99999999999999,200.0
103,1,Solar PV,0.0,200.0
103,2,Wind offshore,90.8,200.0
103,3,Wind onshore,43.6,200.0
103,4,Wind offshore,90.8,200.0
104,1,Solar PV,0.0,200.0
104,2,Wind offshore,123.8,200.0
104,3,Wind onshore,58.4,200.0
104,4,Wind offshore,123.8,200.0
105,1,Solar PV,8.200000000000001,200.0
105,2,Wind offshore,149.4,200.0
105,3,Wind onshore,69.0,200.0
105,4,Wind offshore,149.4,200.0
106,1,Solar PV,16.6,200.0
106,2,Wind offshore,155.20000000000002,200.0
106,3,Wind onshore,65.60000000000001,200.0
106,4,Wind offshore,155.20000000000002,200.0
107,1,Solar PV,35.0,200.0
107,2,Wind offshore,151.8,200.0
107,3,Wind onshore,68.0,200.0
107,4,Wind offshore,151.8,200.0
108,1,Solar PV,43.8,200.0
108,2,Wind offshore,146.8,200.0
108,3,Wind onshore,76.2,200.0
108,4,Wind offshore,146.8,200.0
109,1,Solar PV,28.000000000000004,200.0
109,2,Wind offshore,144.4,200.0
109,3,Wind onshore,70.39999999999999,200.0
109,4,Wind offshore,144.4,200.0
110,1,Solar PV,19.2,200.0
110,2,Wind offshore,146.8,200.0
110,3,Wind onshore,67.4,200.0
110,4,Wind offshore,146.8,200.0
111,1,Solar PV,15.2,200.0
111,2,Wind offshore,149.0,200.0
111,3,Wind onshore,68.2,200.0
111,4,Wind offshore,149.0,200.0
112,1,Solar PV,6.0,200.0
112,2,Wind offshore,151.0,200.0
112,3,Wind onshore,74.8,200.0
112,4,Wind offshore,151.0,200.0
113,1,Solar PV,0.0,200.0
113,2,Wind offshore,153.4,200.0
113,3,Wind onshore,83.0,200.0
113,4,Wind offshore,153.4,200.0
114,1,Solar PV,0.0,200.0
114,2,Wind offshore,160.8,200.0
114,3,Wind onshore,86.0,200.0
114,4,Wind offshore,160.8,200.0
115,1,Solar PV,0.0,200.0
115,2,Wind offshore,163.0,200.0
115,3,Wind onshore,82.8,200.0
115,4,Wind offshore,163.0,200.0
116,1,Solar PV,0.0,200.0
116,2,Wind offshore,161.20000000000002,200.0
116,3,Wind onshore,77.60000000000001,200.0
116,4,Wind offshore,161.20000000000002,200.0
117,1,Solar PV,0.0,200.0
117,2,Wind offshore,163.79999999999998,200.0
117,3,Wind onshore,74.0,200.0
117,4,Wind offshore,163.79999999999998,200.0
118,1,Solar PV,0.0,200.0
118,2,Wind offshore,162.79999999999998,200.0
118,3,Wind onshore,75.0,200.0
118,4,Wind offshore,162.79999999999998,200.0
119,1,Solar PV,0.0,200.0
119,2,Wind offshore,164.0,200.0
119,3,Wind onshore,76.4,200.0
119,4,Wind offshore,164.0,200.0
120,1,Solar PV,0.0,200.0
120,2,Wind offshore,169.6,200.0
120,3,Wind onshore,80.4,200.0
120,4,Wind offshore,169.6,200.0
121,1,Solar PV,0.0,200.0
121,2,Wind offshore,179.8,200.0
121,3,Wind onshore,83.0,200.0
121,4,Wind offshore,179.8,200.0
122,1,Solar PV,0.0,200.0
122,2,Wind offshore,182.6,200.0
122,3,Wind onshore,88.4,200.0
122,4,Wind offshore,182.6,200.0
123,1,Solar PV,0.0,200.0
123,2,Wind offshore,188.39999999999998,200.0
123,3,Wind onshore,103.8,200.0
123,4,Wind offshore,188.39999999999998,200.0
124,1,Solar PV,0.0,200.0
124,2,Wind offshore,192.79999999999998,200.0
124,3,Wind onshore,124.4,200.0
124,4,Wind offshore,192.79999999999998,200.0
125,1,Solar PV,0.0,200.0
125,2,Wind offshore,194.2,200.0
125,3,Wind onshore,139.0,200.0
125,4,Wind offshore,194.2,200.0
126,1,Solar PV,0.0,200.0
126,2,Wind offshore,194.79999999999998,200.0
126,3,Wind onshore,128.0,200.0
126,4,Wind offshore,194.79999999999998,200.0
127,1,Solar PV,0.0,200.0
127,2,Wind offshore,195.4,200.0
127,3,Wind onshore,138.79999999999998,200.0
127,4,Wind offshore,195.4,200.0
128,1,Solar PV,0.0,200.0
128,2,Wind offshore,197.2,200.0
128,3,Wind onshore,154.0,200.0
128,4,Wind offshore,197.2,200.0
129,1,Solar PV,3.4000000000000004,200.0
129,2,Wind offshore,195.4,200.0
129,3,Wind onshore,152.4,200.0
129,4,Wind offshore,195.4,200.0
130,1,Solar PV,15.8,200.0
130,2,Wind offshore,194.79999999999998,200.0
130,3,Wind onshore,139.6,200.0
130,4,Wind offshore,194.79999999999998,200.0
131,1,Solar PV,30.4,200.0
