time,unit,fuel,output
5593,1,PtG,0.0
5593,2,PtG,53.15407553286264
5593,3,PtG,23.82037693427488
5593,4,PtG,52.277443073474416
5594,1,PtG,0.0
5594,2,PtG,55.45180948720678
5594,3,PtG,23.498958025586347
5594,4,PtG,52.746070711248564
5595,1,PtG,0.0
5595,2,PtG,70.30460612226462
5595,3,PtG,16.730418401061005
5595,4,PtG,42.33710379946951
5596,1,PtG,0.0
5596,2,PtG,0.0
5596,3,PtG,0.0
5596,4,PtG,0.0
5597,1,PtG,0.0
5597,2,PtG,0.0
5597,3,PtG,0.0
5597,4,PtG,0.0
5598,1,PtG,0.0
5598,2,PtG,0.0
5598,3,PtG,0.0
5598,4,PtG,0.0
5599,1,PtG,0.0
5599,2,PtG,0.0
5599,3,PtG,0.0
5599,4,PtG,0.0
5600,1,PtG,0.0
5600,2,PtG,0.0
5600,3,PtG,0.0
5600,4,PtG,0.0
5601,1,PtG,0.0
5601,2,PtG,0.0
5601,3,PtG,0.0
5601,4,PtG,0.0
5602,1,PtG,0.0
5602,2,PtG,0.0
5602,3,PtG,0.0
5602,4,PtG,0.0
5603,1,PtG,0.0
5603,2,PtG,0.0
5603,3,PtG,0.0
5603,4,PtG,0.0
5604,1,PtG,0.0
5604,2,PtG,0.0
5604,3,PtG,0.0
5604,4,PtG,0.0
5605,1,PtG,0.0
5605,2,PtG,0.0
5605,3,PtG,0.0
5605,4,PtG,0.0
5606,1,PtG,0.0
5606,2,PtG,0.0
5606,3,PtG,0.0
5606,4,PtG,0.0
5607,1,PtG,0.0
5607,2,PtG,0.0
5607,3,PtG,0.0
5607,4,PtG,0.0
5608,1,PtG,0.0
5608,2,PtG,0.0
5608,3,PtG,0.0
5608,4,PtG,0.0
5609,1,PtG,0.0
5609,2,PtG,0.0
5609,3,PtG,0.0
5609,4,PtG,0.0
5610,1,PtG,0.0
5610,2,PtG,0.0
5610,3,PtG,0.0
5610,4,PtG,0.0
5611,1,PtG,0.0
5611,2,PtG,0.0
5611,3,PtG,0.0
5611,4,PtG,0.0
5612,1,PtG,0.0
5612,2,PtG,0.0
5612,3,PtG,0.0
5612,4,PtG,0.0
5613,1,PtG,0.0
5613,2,PtG,0.0
5613,3,PtG,0.0
5613,4,PtG,0.0
5614,1,PtG,0.0
5614,2,PtG,0.0
5614,3,PtG,0.0
5614,4,PtG,0.0
5615,1,PtG,0.0
5615,2,PtG,86.99310276872406
5615,3,PtG,5.2593982870478335
5615,4,PtG,12.59768035647606
5616,1,PtG,0.0
5616,2,PtG,60.53012979140544
5616,3,PtG,16.260158084048022
5616,4,PtG,40.73421045797598
5617,1,PtG,0.0
5617,2,PtG,54.545202190692436
5617,3,PtG,20.786144618615225
5617,4,PtG,37.650907950551456
5618,1,PtG,0.0
5618,2,PtG,52.72484932708694
5618,3,PtG,19.85186634582626
5618,4,PtG,45.63778780292217
5619,1,PtG,0.0
5619,2,PtG,67.81813539382293
5619,3,PtG,12.339291005780334
5619,4,PtG,33.07111449710982
5620,1,PtG,0.0
5620,2,PtG,0.0
5620,3,PtG,0.0
5620,4,PtG,0.0
5621,1,PtG,0.0
5621,2,PtG,0.0
