time,unit,fuel,output,capacity
5593,1,Solar PV,0.0,200.0
5593,2,Wind offshore,150.4,200.0
5593,3,Wind onshore,67.4,200.0
5593,4,Wind offshore,150.4,200.0
5594,1,Solar PV,0.0,200.0
5594,2,Wind offshore,154.8,200.0
5594,3,Wind onshore,65.60000000000001,200.0
5594,4,Wind offshore,154.8,200.0
5595,1,Solar PV,0.0,200.0
5595,2,Wind offshore,157.4,200.0
5595,3,Wind onshore,62.2,200.0
5595,4,Wind offshore,157.4,200.0
5596,1,Solar PV,0.0,200.0
5596,2,Wind offshore,159.60000000000002,200.0
5596,3,Wind onshore,55.2,200.0
5596,4,Wind offshore,159.60000000000002,200.0
5597,1,Solar PV,0.0,200.0
5597,2,Wind offshore,162.6,200.0
5597,3,Wind onshore,56.8,200.0
5597,4,Wind offshore,162.6,200.0
5598,1,Solar PV,2.4,200.0
5598,2,Wind offshore,165.2,200.0
5598,3,Wind onshore,52.800000000000004,200.0
5598,4,Wind offshore,165.2,200.0
5599,1,Solar PV,23.0,200.0
5599,2,Wind offshore,167.4,200.0
5599,3,Wind onshore,55.400000000000006,200.0
5599,4,Wind offshore,167.4,200.0
5600,1,Solar PV,42.0,200.0
5600,2,Wind offshore,171.6,200.0
5600,3,Wind onshore,84.6,200.0
5600,4,Wind offshore,171.6,200.0
5601,1,Solar PV,83.0,200.0
5601,2,Wind offshore,176.0,200.0
5601,3,Wind onshore,96.8,200.0
5601,4,Wind offshore,176.0,200.0
5602,1,Solar PV,93.60000000000001,200.0
5602,2,Wind offshore,177.6,200.0
5602,3,Wind onshore,101.2,200.0
5602,4,Wind offshore,177.6,200.0
5603,1,Solar PV,108.4,200.0
5603,2,Wind offshore,179.4,200.0
5603,3,Wind onshore,108.60000000000001,200.0
5603,4,Wind offshore,179.4,200.0
5604,1,Solar PV,88.2,200.0
5604,2,Wind offshore,181.20000000000002,200.0
5604,3,Wind onshore,117.19999999999999,200.0
5604,4,Wind offshore,181.20000000000002,200.0
5605,1,Solar PV,95.6,200.0
5605,2,Wind offshore,180.8,200.0
5605,3,Wind onshore,122.0,200.0
5605,4,Wind offshore,180.8,200.0
5606,1,Solar PV,109.60000000000001,200.0
5606,2,Wind offshore,177.8,200.0
5606,3,Wind onshore,123.2,200.0
5606,4,Wind offshore,177.8,200.0
5607,1,Solar PV,112.4,200.0
5607,2,Wind offshore,173.8,200.0
5607,3,Wind onshore,117.19999999999999,200.0
5607,4,Wind offshore,173.8,200.0
5608,1,Solar PV,71.8,200.0
5608,2,Wind offshore,165.39999999999998,200.0
5608,3,Wind onshore,97.8,200.0
5608,4,Wind offshore,165.39999999999998,200.0
5609,1,Solar PV,44.800000000000004,200.0
5609,2,Wind offshore,155.4,200.0
5609,3,Wind onshore,73.4,200.0
5609,4,Wind offshore,155.4,200.0
5610,1,Solar PV,15.2,200.0
5610,2,Wind offshore,146.4,200.0
5610,3,Wind onshore,66.8,200.0
5610,4,Wind offshore,146.4,200.0
5611,1,Solar PV,0.6,200.0
5611,2,Wind offshore,137.20000000000002,200.0
5611,3,Wind onshore,72.0,200.0
5611,4,Wind offshore,137.20000000000002,200.0
5612,1,Solar PV,0.0,200.0
5612,2,Wind offshore,132.6,200.0
5612,3,Wind onshore,68.2,200.0
5612,4,Wind offshore,132.6,200.0
5613,1,Solar PV,0.0,200.0
5613,2,Wind offshore,131.8,200.0
5613,3,Wind onshore,66.4,200.0
5613,4,Wind offshore,131.8,200.0
5614,1,Solar PV,0.0,200.0
5614,2,Wind offshore,135.4,200.0
5614,3,Wind onshore,66.0,200.0
5614,4,Wind offshore,135.4,200.0
5615,1,Solar PV,0.0,200.0
5615,2,Wind offshore,141.79999999999998,200.0
5615,3,Wind onshore,59.199999999999996,200.0
5615,4,Wind offshore,141.79999999999998,200.0
5616,1,Solar PV,0.0,200.0
5616,2,Wind offshore,145.79999999999998,200.0
5616,3,Wind onshore,58.199999999999996,200.0
5616,4,Wind offshore,145.79999999999998,200.0
5617,1,Solar PV,0.0,200.0
5617,2,Wind offshore,148.0,200.0
